Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Oxide,2015-01-01,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,6,11,13
46108,Nitrogen Oxide,2015-01-03,49,63,71,68,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-04,6,20,19,9999,18,16,18,20,21,22,24,15,5,3,2,1,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-05,1,0,0,0,0,0,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,0
46108,Nitrogen Oxide,2015-01-06,0,0,0,0,0,0,1,1,1,2,2,2,2,3,2,2,1,1,1,1,1,1,1,0
46108,Nitrogen Oxide,2015-01-07,0,0,0,0,1,1,2,1,4,4,5,4,4,3,2,2,1,2,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-08,1,1,1,0,1,1,1,1,1,2,2,2,3,3,2,2,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-09,1,1,1,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0
46108,Nitrogen Oxide,2015-01-10,0,0,0,0,1,1,1,1,2,3,3,2,2,2,1,1,1,1,1,1,1,0,1,0
46108,Nitrogen Oxide,2015-01-11,1,0,0,9999,0,1,1,1,1,2,3,3,3,3,2,2,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-12,1,1,1,1,1,1,1,1,3,6,8,8,5,3,2,2,2,1,1,3,1,1,1,0
46108,Nitrogen Oxide,2015-01-13,0,0,0,0,1,1,1,3,12,23,32,31,28,15,12,6,2,1,2,6,1,2,26,63
46108,Nitrogen Oxide,2015-01-14,88,86,85,75,73,60,78,103,110,124,103,31,11,6,4,3,2,3,2,6,4,4,3,5
46108,Nitrogen Oxide,2015-01-15,1,1,1,1,1,1,2,4,12,10,8,6,6,4,3,2,1,1,1,1,1,1,1,1
46108,Nitrogen Oxide,2015-01-16,1,1,1,1,1,1,1,1,1,2,4,3,2,4,3,2,2,1,1,1,1,2,1,1
46108,Nitrogen Oxide,2015-01-17,2,2,13,27,12,2,6,20,22,2,2,2,2,2,2,2,1,1,1,5,7,14,4,1
46108,Nitrogen Oxide,2015-01-18,1,1,1,9999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
