Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Dioxide,2015-01-01,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,6,6,6,5,6,5,5,5
46108,Nitrogen Dioxide,2015-01-02,5,6,7,5,4,5,7,8,7,5,3,3,2,3,2,3,4,9,12,18,26,27,31,32
46108,Nitrogen Dioxide,2015-01-03,32,31,30,29,9,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,6,7,11,19
46108,Nitrogen Dioxide,2015-01-04,28,31,31,9999,29,27,27,26,25,22,22,16,9,8,7,6,5,5,4,5,4,2,2,2
46108,Nitrogen Dioxide,2015-01-05,2,1,1,2,2,2,3,4,5,4,3,3,3,3,3,4,5,5,6,6,6,6,6,6
46108,Nitrogen Dioxide,2015-01-06,6,7,6,8,8,10,13,11,11,10,6,5,6,7,8,8,8,8,11,12,10,10,9,6
46108,Nitrogen Dioxide,2015-01-07,5,4,4,4,5,7,9,10,10,9,7,6,6,5,3,4,5,7,9,10,10,9,8,10
46108,Nitrogen Dioxide,2015-01-08,13,8,5,4,4,4,6,7,8,8,7,7,7,7,6,5,6,7,9,9,9,10,8,8
46108,Nitrogen Dioxide,2015-01-09,8,6,7,7,6,7,7,8,9,6,6,4,4,4,4,5,6,6,7,7,7,6,4,4
46108,Nitrogen Dioxide,2015-01-10,5,4,4,4,5,6,9,9,9,8,6,5,4,4,4,4,5,6,7,7,6,7,8,11
46108,Nitrogen Dioxide,2015-01-11,11,6,6,9999,5,9,16,19,15,14,11,7,6,7,8,10,14,15,14,15,13,14,9,7
46108,Nitrogen Dioxide,2015-01-12,7,7,7,9,9,10,14,17,18,18,17,16,13,12,10,9,10,11,10,10,8,8,7,6
46108,Nitrogen Dioxide,2015-01-13,6,6,6,7,10,14,22,31,30,28,29,28,27,20,20,15,11,17,30,38,33,37,44,48
46108,Nitrogen Dioxide,2015-01-14,49,49,49,47,46,44,46,49,49,51,49,32,17,12,10,9,14,26,24,35,29,33,31,34
46108,Nitrogen Dioxide,2015-01-15,29,23,23,23,25,20,28,31,30,22,17,14,13,12,11,11,13,13,12,11,10,10,10,12
46108,Nitrogen Dioxide,2015-01-16,13,14,14,13,11,5,8,6,6,5,9,7,5,7,6,5,12,13,12,18,18,23,20,20
46108,Nitrogen Dioxide,2015-01-17,27,32,37,38,37,32,38,41,32,7,6,9,9,8,7,8,10,11,19,27,26,28,20,12
46108,Nitrogen Dioxide,2015-01-18,11,12,11,9999,7,5,5,5,6,5,4,4,6,6,7,6,6,7,9,9,6,6,6,4
