Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Nitrogen Oxides,2015-01-01,7,5,5,5,5,5,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6
46108,Nitrogen Oxides,2015-01-02,6,6,7,5,4,5,7,9,8,6,4,4,3,4,3,4,4,9,13,19,29,33,42,45
46108,Nitrogen Oxides,2015-01-03,81,94,101,97,15,4,5,4,5,5,4,5,5,5,6,6,6,6,7,7,7,8,12,20
46108,Nitrogen Oxides,2015-01-04,33,51,50,9999,47,44,44,46,45,45,45,31,14,11,8,7,6,5,4,5,5,3,3,3
46108,Nitrogen Oxides,2015-01-05,3,2,2,2,2,3,3,5,6,5,5,5,4,4,5,5,6,6,7,7,7,7,7,7
46108,Nitrogen Oxides,2015-01-06,6,8,7,9,8,10,14,12,12,12,8,7,8,10,11,10,9,9,12,13,11,11,10,7
46108,Nitrogen Oxides,2015-01-07,5,4,4,4,6,7,11,11,14,13,11,10,10,9,5,6,6,8,10,11,11,10,9,11
46108,Nitrogen Oxides,2015-01-08,13,8,6,5,4,5,7,8,9,9,9,10,10,10,8,7,7,8,9,10,10,10,8,9
46108,Nitrogen Oxides,2015-01-09,9,7,7,7,7,8,8,9,10,8,9,6,6,5,6,7,7,7,8,8,7,6,5,5
46108,Nitrogen Oxides,2015-01-10,5,5,4,5,6,7,9,10,11,10,9,7,5,5,5,5,6,7,8,7,7,7,9,11
46108,Nitrogen Oxides,2015-01-11,12,7,6,9999,6,9,17,20,17,17,13,10,9,9,10,11,16,16,15,15,14,14,10,7
46108,Nitrogen Oxides,2015-01-12,7,8,8,10,10,11,15,18,21,24,25,25,18,15,12,12,12,13,12,13,8,8,7,7
46108,Nitrogen Oxides,2015-01-13,7,7,7,8,11,14,23,34,42,51,61,59,55,35,32,21,13,18,32,44,34,38,70,111
46108,Nitrogen Oxides,2015-01-14,136,135,135,122,119,103,123,152,159,175,151,63,28,17,14,12,16,29,26,41,33,37,34,39
46108,Nitrogen Oxides,2015-01-15,30,24,24,24,26,21,29,35,42,32,25,20,19,16,14,13,14,14,13,11,11,11,11,12
46108,Nitrogen Oxides,2015-01-16,13,14,14,14,11,6,9,7,8,7,13,10,7,11,8,7,14,15,13,19,19,25,21,21
46108,Nitrogen Oxides,2015-01-17,29,34,49,65,49,34,44,60,55,9,7,11,12,10,9,10,11,12,20,32,33,42,24,13
46108,Nitrogen Oxides,2015-01-18,12,13,12,9999,7,6,5,6,7,6,6,5,7,7,8,7,7,8,10,10,7,6,6,5
46108,Nitrogen Oxides,2015-01-19,4,3,3,3,3,-999,-999,-999,7,7,5,5,4,5,5,6,7,8,8,9,10,7,6,9
46108,Nitrogen Oxides,2015-01-20,11,9,10,14,12,14,22,26,32,33,29,35,28,29,24,24,24,25,28,39,44,42,40,47
46108,Nitrogen Oxides,2015-01-21,45,40,38,46,54,53,75,110,147,164,152,111,50,6,7,9,14,18,20,65,23,22,24,26
46108,Nitrogen Oxides,2015-01-22,20,22,19,9,8,12,20,41,47,37,17,15,11,9,7,7,8,9,12,14,11,9,7,6
46108,Nitrogen Oxides,2015-01-23,7,9,9,8,6,7,8,8,8,7,6,6,6,7,7,7,9,11,9,10,8,8,8,8
46108,Nitrogen Oxides,2015-01-24,8,10,12,12,9,9,12,13,10,10,11,12,13,14,15,15,17,15,14,13,13,12,7,6
46108,Nitrogen Oxides,2015-01-25,6,6,5,9999,4,8,8,9,8,8,6,8,8,10,10,9,9,9,9,10,11,14,18,20
46108,Nitrogen Oxides,2015-01-26,20,13,14,13,13,14,17,27,26,25,26,25,22,18,16,20,18,17,16,14,12,11,10,9
46108,Nitrogen Oxides,2015-01-27,10,13,14,10,11,13,19,28,36,30,28,28,27,21,19,17,15,17,26,25,20,19,21,18
46108,Nitrogen Oxides,2015-01-28,18,12,10,14,14,16,25,71,107,74,25,23,22,34,36,39,34,42,61,50,51,48,30,34
46108,Nitrogen Oxides,2015-01-29,38,45,33,30,28,12,15,15,16,15,17,19,21,29,35,33,40,46,41,31,22,19,10,9
46108,Nitrogen Oxides,2015-01-30,9,6,6,8,10,8,6,10,7,6,6,6,7,6,5,5,6,8,9,12,17,14,13,13
46108,Nitrogen Oxides,2015-01-31,16,18,15,18,19,22,29,33,30,15,13,11,11,9,9,10,12,12,10,9,8,9,12,14
46108,Nitrogen Oxides,2015-02-01,14,12,11,9999,8,8,8,7,8,11,12,16,18,17,16,16,13,17,17,17,15,15,13,11
46108,Nitrogen Oxides,2015-02-02,10,8,9,12,15,18,17,15,16,15,14,13,14,12,10,13,23,13,13,15,25,22,25,15
46108,Nitrogen Oxides,2015-02-03,11,10,12,14,12,12,25,20,19,21,18,15,11,10,10,11,13,13,12,19,17,17,19,20
46108,Nitrogen Oxides,2015-02-04,24,19,16,18,21,25,26,37,33,49,67,69,66,25,13,12,14,14,13,10,8,7,6,9
46108,Nitrogen Oxides,2015-02-05,7,7,8,9,10,13,20,33,30,24,20,17,9,9,9,7,8,15,19,15,11,10,10,8
46108,Nitrogen Oxides,2015-02-06,8,9,11,8,8,9,11,17,15,14,14,15,15,12,13,12,11,15,14,13,14,15,16,17
46108,Nitrogen Oxides,2015-02-07,18,18,20,20,19,22,33,27,30,30,29,30,32,33,30,23,16,15,20,19,12,7,5,5
46108,Nitrogen Oxides,2015-02-08,5,4,5,9999,5,9,16,18,15,19,18,17,17,16,14,15,14,15,14,12,11,10,11,9
46108,Nitrogen Oxides,2015-02-09,8,8,9,11,14,16,20,25,25,27,29,39,35,31,29,29,23,26,24,26,29,30,31,31
46108,Nitrogen Oxides,2015-02-10,24,22,20,21,24,28,36,43,47,25,23,20,20,23,28,33,15,14,17,17,22,36,57,49
46108,Nitrogen Oxides,2015-02-11,10,6,9,23,7,5,5,6,25,12,22,17,25,31,32,28,28,18,20,19,19,20,17,10
46108,Nitrogen Oxides,2015-02-12,8,6,5,4,5,6,9,11,12,8,7,6,6,6,4,6,6,8,9,11,12,13,10,10
46108,Nitrogen Oxides,2015-02-13,14,10,11,12,12,14,21,39,47,26,23,16,12,6,11,8,10,10,10,13,14,12,13,15
46108,Nitrogen Oxides,2015-02-14,13,12,12,13,15,18,9,9,10,9,8,10,8,5,3,5,10,4,5,5,5,6,6,6
46108,Nitrogen Oxides,2015-02-15,5,6,5,9999,5,7,7,8,8,9,6,5,6,5,7,4,3,4,5,5,5,6,10,10
46108,Nitrogen Oxides,2015-02-16,8,7,11,18,26,27,24,25,23,16,14,9,11,15,13,12,17,17,18,19,27,23,24,33
46108,Nitrogen Oxides,2015-02-17,48,51,64,77,100,103,104,106,101,59,27,12,10,9999,9999,9999,9999,12,14,10,14,18,20,22
46108,Nitrogen Oxides,2015-02-18,23,30,32,30,30,39,41,54,49,33,20,20,11,11,20,21,16,19,14,13,12,8,8,7
46108,Nitrogen Oxides,2015-02-19,9,8,8,8,8,12,12,19,14,9,6,5,4,3,3,3,4,5,7,9,8,9,11,8
