Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Ozone,2015-01-01,26,27,26,26,24,22,23,22,24,24,24,24,25,24,24,23,23,23,22,23,24,25,25,24
46108,Ozone,2015-01-02,23,22,21,28,33,34,31,30,32,34,37,38,39,38,38,37,37,31,27,21,8,4,1,1
46108,Ozone,2015-01-03,0,1,0,0,23,31,29,28,27,27,29,28,26,24,24,23,22,21,20,19,18,17,13,7
46108,Ozone,2015-01-04,0,0,0,9999,0,0,0,0,0,1,2,5,9,10,13,15,20,24,26,24,24,28,29,30
46108,Ozone,2015-01-05,32,37,37,36,36,36,35,34,33,33,34,34,34,34,35,34,34,34,33,32,31,31,30,30
46108,Ozone,2015-01-06,30,28,29,27,27,25,22,24,24,25,29,30,29,28,27,28,29,28,25,24,25,24,9999,9999
46108,Ozone,2015-01-07,35,36,35,34,32,30,28,25,24,25,26,27,27,29,31,32,31,29,28,26,26,26,26,24
46108,Ozone,2015-01-08,21,25,30,32,33,32,29,29,29,29,30,29,30,31,32,34,33,32,32,30,30,29,30,28
46108,Ozone,2015-01-09,27,28,26,26,25,24,24,26,25,28,30,34,34,35,35,34,34,33,32,31,32,33,34,33
46108,Ozone,2015-01-10,33,33,33,32,31,30,26,24,25,26,29,32,35,35,36,36,34,31,31,31,31,31,30,26
46108,Ozone,2015-01-11,26,31,31,9999,32,28,20,17,19,21,24,27,29,30,29,28,22,21,21,20,22,21,25,28
46108,Ozone,2015-01-12,28,26,24,21,20,19,15,12,9,10,11,13,16,20,29,30,29,27,28,30,32,31,31,30
46108,Ozone,2015-01-13,29,28,28,27,24,21,14,6,8,12,13,15,16,22,22,24,26,21,10,5,8,5,0,0
46108,Ozone,2015-01-14,0,1,0,0,0,0,0,0,1,2,6,14,26,31,33,34,29,18,18,7,10,6,6,3
46108,Ozone,2015-01-15,7,12,11,10,10,14,8,4,5,12,17,21,24,28,31,33,31,30,30,30,30,30,28,25
46108,Ozone,2015-01-16,23,20,19,19,24,34,33,35,33,34,26,29,34,31,32,34,27,25,26,21,21,16,18,17
46108,Ozone,2015-01-17,10,3,0,0,1,6,1,0,7,28,32,30,29,31,32,31,29,27,18,7,5,2,17,26
46108,Ozone,2015-01-18,28,27,29,9999,35,37,36,32,29,27,26,27,26,26,26,26,24,21,18,18,21,21,22,26
46108,Ozone,2015-01-19,27,28,29,29,29,-999,-999,-999,23,24,28,28,30,31,30,29,28,26,25,24,23,26,26,23
46108,Ozone,2015-01-20,20,22,21,19,22,20,13,11,10,14,19,20,23,25,26,25,23,20,17,13,5,4,5,1
