Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
46108,Fine Particulate Matter,2015-01-01,7,7,8,8,8,8,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,8
46108,Fine Particulate Matter,2015-01-02,9,10,11,7,3,2,2,2,2,2,2,2,2,3,3,3,3,4,6,8,8,10,14,20
46108,Fine Particulate Matter,2015-01-03,25,29,24,18,9,7,10,11,12,12,10,11,13,14,12,11,11,10,9,10,11,10,9,11
46108,Fine Particulate Matter,2015-01-04,15,15,13,11,8,6,6,6,7,8,8,7,4,3,3,3,3,4,6,6,5,1,1,2
46108,Fine Particulate Matter,2015-01-05,2,1,1,2,3,3,2,3,2,3,3,3,3,3,3,3,4,4,5,7,7,6,6,7
46108,Fine Particulate Matter,2015-01-06,7,7,7,8,8,8,9,9,9,9,8,7,7,7,8,8,7,8,9,11,10,10,10,6
46108,Fine Particulate Matter,2015-01-07,5,4,5,5,3,3,3,4,5,5,5,5,4,3,2,3,2,2,2,3,3,3,3,4
46108,Fine Particulate Matter,2015-01-08,4,5,3,3,3,3,4,5,6,7,7,7,7,7,7,5,5,6,6,7,8,7,6,6
46108,Fine Particulate Matter,2015-01-09,6,7,8,9,9,9,9,7,8,7,6,3,3,2,2,3,3,4,5,5,5,5,5,5
46108,Fine Particulate Matter,2015-01-10,6,6,5,5,6,6,7,9,10,10,9,7,6,6,5,6,7,9,9,10,10,11,12,12
46108,Fine Particulate Matter,2015-01-11,12,11,9,8,9,9,9,10,9,9,9,10,9,9,10,10,11,11,11,12,11,10,10,11
46108,Fine Particulate Matter,2015-01-12,12,12,13,15,15,16,18,21,23,26,28,28,28,15,4,4,4,4,4,3,3,3,3,3
46108,Fine Particulate Matter,2015-01-13,4,4,4,5,5,5,6,7,6,6,8,8,9,7,7,6,5,7,9,11,10,11,12,16
46108,Fine Particulate Matter,2015-01-14,17,18,21,19,17,17,19,21,22,24,20,13,10,6,6,6,9,13,15,22,28,29,29,32
46108,Fine Particulate Matter,2015-01-15,31,31,32,34,29,23,22,26,26,21,19,18,17,17,17,18,18,22,20,21,22,24,28,30
46108,Fine Particulate Matter,2015-01-16,31,34,35,35,19,2,2,2,2,2,3,3,3,3,3,3,4,4,5,6,7,9,8,7
46108,Fine Particulate Matter,2015-01-17,8,8,10,9,8,7,7,7,7,5,5,6,7,7,8,10,12,15,18,18,19,26,13,8
