Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Nitrogen Oxide,2015-01-01,3,2,1,1,2,1,2,1,1,4,5,6,4,3,5,3,4,2,2,3,6,5,4,4
31103,Nitrogen Oxide,2015-01-02,4,1,3,2,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,7
31103,Nitrogen Oxide,2015-01-03,8,5,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3
31103,Nitrogen Oxide,2015-01-04,3,3,3,4,4,6,6,10,14,16,41,36,18,7,3,2,2,1,0,0,0,0,0,0
31103,Nitrogen Oxide,2015-01-05,0,0,0,0,0,1,1,1,2,3,4,5,3,2,2,1,1,0,1,2,1,3,1,1
31103,Nitrogen Oxide,2015-01-06,2,1,3,1,1,0,0,3,4,7,8,7,5,5,3,4,2,2,5,2,4,2,1,2
31103,Nitrogen Oxide,2015-01-07,2,4,2,1,0,0,1,1,2,3,4,5,4,4,3,2,2,1,2,1,1,1,2,2
31103,Nitrogen Oxide,2015-01-08,2,4,6,5,7,6,5,5,3,6,7,7,7,8,7,3,3,2,0,0,0,0,0,0
31103,Nitrogen Oxide,2015-01-09,1,4,3,4,4,5,6,3,6,8,11,3,3,2,2,2,3,1,2,2,2,3,1,0
31103,Nitrogen Oxide,2015-01-10,0,0,3,5,1,1,1,2,2,3,5,7,5,5,5,2,2,3,4,4,3,4,3,1
31103,Nitrogen Oxide,2015-01-11,3,3,4,3,2,1,1,0,1,2,3,4,4,3,2,1,0,0,0,0,1,1,0,1
31103,Nitrogen Oxide,2015-01-12,2,0,1,0,1,3,5,5,11,14,18,15,11,4,3,2,1,1,1,1,1,1,1,2
31103,Nitrogen Oxide,2015-01-13,2,2,2,2,2,3,3,5,11,12,18,15,12,10,8,5,3,4,3,5,8,11,9,10
31103,Nitrogen Oxide,2015-01-14,11,9,7,1,1,1,2,26,63,42,7,14,36,23,11,5,2,1,1,2,2,4,1,1
31103,Nitrogen Oxide,2015-01-15,7,14,9,3,3,2,2,5,14,22,15,10,8,5,4,2,1,0,0,1,1,2,1,2
31103,Nitrogen Oxide,2015-01-16,6,5,3,3,1,1,1,1,1,3,4,4,4,3,2,2,1,1,0,0,1,1,2,6
31103,Nitrogen Oxide,2015-01-17,6,3,4,4,5,6,8,6,3,4,4,4,4,3,3,3,2,2,2,3,5,2,0,0
31103,Nitrogen Oxide,2015-01-18,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,0,3,2,1,0,0,0
31103,Nitrogen Oxide,2015-01-19,0,0,0,0,0,0,0,1,1,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0
31103,Nitrogen Oxide,2015-01-20,0,0,0,0,0,0,2,2,4,7,8,10,7,7,8,10,4,2,3,6,6,5,5,2
31103,Nitrogen Oxide,2015-01-21,2,1,2,4,5,17,18,30,51,44,23,7,4,3,3,3,2,2,4,3,2,2,1,1
31103,Nitrogen Oxide,2015-01-22,2,1,0,0,1,1,4,6,18,14,13,10,8,4,2,1,1,0,0,0,1,1,0,1
31103,Nitrogen Oxide,2015-01-23,0,0,0,0,0,1,0,3,3,5,3,3,2,3,2,1,1,0,0,0,3,1,1,1
31103,Nitrogen Oxide,2015-01-24,1,1,1,1,1,2,1,0,0,1,3,6,4,3,5,4,4,2,6,4,1,1,0,0
31103,Nitrogen Oxide,2015-01-25,0,0,0,0,0,0,0,0,1,2,4,3,3,3,3,2,1,2,1,2,2,2,1,1
31103,Nitrogen Oxide,2015-01-26,2,1,2,2,2,2,3,5,8,10,8,7,5,4,5,4,4,2,2,2,2,1,1,1
31103,Nitrogen Oxide,2015-01-27,1,1,1,1,1,2,2,3,5,6,8,7,6,5,8,6,3,1,1,1,1,1,1,0
31103,Nitrogen Oxide,2015-01-28,1,0,1,2,3,4,1,3,11,10,11,7,4,6,8,8,6,3,1,0,0,1,2,2
31103,Nitrogen Oxide,2015-01-29,0,0,0,0,1,2,2,4,4,4,5,6,5,1,2,1,1,4,10,9,2,1,0,0
31103,Nitrogen Oxide,2015-01-30,0,0,0,0,0,0,1,1,2,3,4,4,4,3,3,2,1,1,0,0,0,1,1,1
31103,Nitrogen Oxide,2015-01-31,0,0,5,34,37,35,9,8,6,13,16,7,4,4,3,1,1,0,0,0,2,2,0,0
31103,Nitrogen Oxide,2015-02-01,0,0,0,0,1,0,1,1,2,3,4,4,5,5,4,3,2,2,3,3,3,2,2,2
31103,Nitrogen Oxide,2015-02-02,2,1,2,2,2,2,2,2,3,4,5,7,6,4,3,3,2,1,1,0,0,0,0,1
31103,Nitrogen Oxide,2015-02-03,3,1,1,1,2,4,6,4,4,12,15,12,8,6,6,6,3,1,1,2,3,2,1,1
31103,Nitrogen Oxide,2015-02-04,1,0,0,0,2,5,2,6,15,18,20,23,26,19,3,3,2,1,0,0,0,0,0,0
31103,Nitrogen Oxide,2015-02-05,0,0,0,0,0,0,2,5,7,7,6,6,5,4,4,4,1,0,0,4,4,4,2,2
31103,Nitrogen Oxide,2015-02-06,0,3,0,1,0,3,2,5,6,9,7,6,7,5,5,2,3,0,0,0,3,2,2,1
31103,Nitrogen Oxide,2015-02-07,1,1,0,0,0,0,3,4,6,6,6,8,23,11,7,4,3,3,1,2,2,2,2,2
31103,Nitrogen Oxide,2015-02-08,1,1,1,1,1,2,2,2,3,3,3,4,4,4,4,3,3,2,2,2,1,1,1,1
31103,Nitrogen Oxide,2015-02-09,1,2,1,1,1,2,2,3,5,7,6,8,8,9,9,7,4,3,2,3,2,2,2,2
31103,Nitrogen Oxide,2015-02-10,2,2,1,1,2,1,4,11,12,8,8,8,7,6,6,5,3,2,2,2,3,1,2,4
31103,Nitrogen Oxide,2015-02-11,1,1,1,1,2,1,2,3,6,4,6,3,3,3,3,3,1,1,2,5,2,3,3,1
31103,Nitrogen Oxide,2015-02-12,0,0,0,0,0,0,0,2,4,4,5,5,5,4,3,2,2,1,1,1,1,0,0,1
31103,Nitrogen Oxide,2015-02-13,0,1,0,0,0,1,2,4,13,13,16,32,28,15,7,4,2,2,1,0,0,0,0,0
31103,Nitrogen Oxide,2015-02-14,0,0,1,2,2,1,3,5,3,4,3,2,2,2,2,1,1,1,0,0,1,1,1,1
31103,Nitrogen Oxide,2015-02-15,1,1,1,1,1,1,1,1,2,3,3,4,3,3,2,2,1,1,0,0,1,1,1,1
31103,Nitrogen Oxide,2015-02-16,0,0,1,1,1,1,2,5,10,10,13,16,16,15,11,8,6,2,0,1,1,4,9,15
