Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Nitrogen Dioxide,2015-01-01,15,14,10,10,11,10,9,7,7,9,9,10,10,8,11,10,14,12,11,13,15,15,14,13
31103,Nitrogen Dioxide,2015-01-02,14,11,16,15,8,7,10,11,10,10,8,6,5,5,5,7,10,10,16,17,22,29,23,40
31103,Nitrogen Dioxide,2015-01-03,37,32,25,16,10,12,10,10,10,11,11,10,13,13,14,12,14,14,15,16,16,17,17,17
31103,Nitrogen Dioxide,2015-01-04,21,21,22,24,24,25,26,27,28,27,31,28,23,12,9,9,10,10,9,11,13,7,5,5
31103,Nitrogen Dioxide,2015-01-05,6,5,5,5,6,7,7,10,10,9,8,8,8,5,7,7,8,9,12,14,13,18,15,17
31103,Nitrogen Dioxide,2015-01-06,20,18,18,16,15,14,18,25,24,23,18,15,14,14,13,15,14,16,18,15,18,15,15,17
31103,Nitrogen Dioxide,2015-01-07,12,16,12,10,9,8,10,14,14,11,9,9,8,9,9,11,15,20,25,22,19,18,19,22
31103,Nitrogen Dioxide,2015-01-08,23,21,20,16,19,17,16,18,13,15,16,16,14,15,15,13,13,13,10,10,9,8,8,8
31103,Nitrogen Dioxide,2015-01-09,11,17,16,17,16,17,18,16,20,18,17,8,10,10,12,9,12,11,13,14,13,14,10,9
31103,Nitrogen Dioxide,2015-01-10,9,8,15,16,9,11,14,14,13,11,11,12,9,9,10,9,12,13,16,17,18,20,18,15
31103,Nitrogen Dioxide,2015-01-11,21,18,18,18,17,17,24,13,12,18,14,15,14,11,11,13,13,14,14,14,21,28,20,18
31103,Nitrogen Dioxide,2015-01-12,17,15,15,17,17,22,27,28,30,27,26,25,26,20,17,13,14,15,12,12,12,13,14,12
31103,Nitrogen Dioxide,2015-01-13,13,12,12,13,15,15,18,25,29,25,25,20,19,19,18,17,18,23,25,31,38,40,39,39
31103,Nitrogen Dioxide,2015-01-14,38,38,36,15,13,15,22,43,49,41,18,23,37,34,27,22,23,23,31,35,37,40,32,32
31103,Nitrogen Dioxide,2015-01-15,38,40,38,33,32,30,28,32,31,28,24,19,18,15,19,17,17,17,19,16,16,18,16,20
