Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Nitrogen Oxides,2015-01-01,18,16,11,11,13,11,11,9,8,13,14,15,14,11,15,14,18,15,13,17,21,20,18,17
31103,Nitrogen Oxides,2015-01-02,18,12,19,17,8,7,10,11,10,11,10,7,5,6,6,8,10,10,16,17,22,29,23,47
31103,Nitrogen Oxides,2015-01-03,45,37,28,17,11,12,10,11,11,12,12,12,15,15,16,14,16,16,17,19,19,20,20,20
31103,Nitrogen Oxides,2015-01-04,24,24,25,28,28,31,32,37,43,43,72,64,41,20,11,11,12,11,9,11,13,7,6,5
31103,Nitrogen Oxides,2015-01-05,6,5,5,5,6,7,8,11,12,12,12,13,11,7,10,8,8,10,13,16,13,20,16,18
31103,Nitrogen Oxides,2015-01-06,23,19,21,17,16,14,18,28,29,29,26,22,19,20,16,19,16,18,22,17,22,17,16,19
31103,Nitrogen Oxides,2015-01-07,14,19,14,11,10,9,11,15,16,14,14,14,12,12,11,14,17,21,27,23,20,19,21,23
31103,Nitrogen Oxides,2015-01-08,25,24,26,21,26,24,21,23,16,21,23,23,21,24,22,16,16,15,10,10,9,9,8,9
31103,Nitrogen Oxides,2015-01-09,12,21,20,22,20,22,24,18,26,27,28,11,13,12,14,11,14,12,15,16,16,17,11,9
31103,Nitrogen Oxides,2015-01-10,9,8,17,21,10,12,15,16,15,14,15,19,14,14,15,12,15,16,20,21,21,24,21,16
31103,Nitrogen Oxides,2015-01-11,24,21,22,22,19,18,25,13,13,20,17,19,18,14,12,14,13,14,14,14,22,28,20,19
31103,Nitrogen Oxides,2015-01-12,19,15,15,18,18,25,32,34,41,41,44,40,37,24,20,15,15,16,12,13,13,13,15,13
31103,Nitrogen Oxides,2015-01-13,15,14,14,14,17,18,21,30,39,37,42,35,32,29,26,23,21,27,28,36,47,51,48,49
31103,Nitrogen Oxides,2015-01-14,49,47,43,16,15,16,24,69,112,83,26,37,72,57,38,27,24,24,32,37,39,44,33,33
