Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Ozone,2015-01-01,19,19,22,21,19,19,19,19,20,19,19,19,20,21,19,19,16,18,18,17,16,16,18,17
31103,Ozone,2015-01-02,16,20,14,15,29,32,30,29,31,31,33,35,36,36,36,34,31,31,25,24,19,14,19,6
31103,Ozone,2015-01-03,4,8,13,22,28,26,27,26,26,25,25,24,21,20,18,19,17,17,15,14,13,13,12,11
31103,Ozone,2015-01-04,8,8,6,4,4,3,2,1,1,2,1,2,3,7,13,14,15,20,21,18,16,23,26,27
31103,Ozone,2015-01-05,28,32,33,33,32,31,30,29,28,29,29,29,29,32,30,31,31,30,28,25,26,22,23,21
31103,Ozone,2015-01-06,18,19,19,21,21,22,19,13,13,15,19,22,23,22,22,21,23,21,19,21,18,21,20,20
31103,Ozone,2015-01-07,29,25,27,28,27,30,26,22,22,24,25,25,26,26,26,23,19,15,11,15,19,20,19,17
31103,Ozone,2015-01-08,16,16,17,21,20,21,21,19,24,22,21,22,23,23,24,27,26,27,30,30,30,30,29,27
31103,Ozone,2015-01-09,25,19,18,17,17,16,15,18,16,18,20,30,29,30,28,30,28,28,26,25,26,25,28,29
31103,Ozone,2015-01-10,29,29,23,22,28,26,23,20,21,23,24,25,29,30,29,30,28,25,23,22,21,19,20,23
31103,Ozone,2015-01-11,18,20,21,21,22,20,14,22,22,18,21,20,21,25,26,25,24,22,22,22,15,9,16,18
31103,Ozone,2015-01-12,19,21,19,15,14,9,4,3,2,4,6,7,7,16,23,27,26,24,27,27,27,27,25,25
31103,Ozone,2015-01-13,23,23,23,22,19,19,17,11,10,13,15,19,20,21,21,22,22,19,16,11,5,3,3,3
31103,Ozone,2015-01-14,3,4,5,24,26,27,20,4,1,5,23,19,12,14,18,22,21,21,14,10,6,3,9,7
31103,Ozone,2015-01-15,2,1,1,5,6,6,8,5,5,7,11,16,19,24,22,27,27,26,23,25,24,22,22,18
31103,Ozone,2015-01-16,14,11,11,10,11,27,29,29,28,25,24,27,29,29,29,27,28,21,23,18,14,11,6,7
31103,Ozone,2015-01-17,9,12,14,13,11,9,6,13,21,24,28,28,24,27,26,26,26,24,22,17,11,17,24,28
31103,Ozone,2015-01-18,29,31,32,32,31,31,30,31,26,25,21,22,22,18,22,25,22,17,13,13,14,12,14,20
31103,Ozone,2015-01-19,23,24,25,25,23,20,20,17,17,17,23,27,27,28,28,26,22,18,18,18,19,21,21,23
31103,Ozone,2015-01-20,23,18,20,21,21,18,14,13,13,17,19,21,23,23,21,16,18,16,7,6,3,7,6,18
31103,Ozone,2015-01-21,17,18,15,8,5,1,1,1,1,4,9,19,25,25,24,23,23,24,15,13,16,16,18,19
31103,Ozone,2015-01-22,19,17,24,22,12,13,6,4,5,10,15,20,23,27,30,31,28,28,22,25,20,16,24,25
31103,Ozone,2015-01-23,25,22,23,23,24,24,25,18,20,22,27,28,30,29,29,29,26,25,26,25,18,21,24,21
31103,Ozone,2015-01-24,16,18,18,20,19,16,18,20,18,16,12,10,11,11,10,7,4,5,3,5,8,10,16,29
31103,Ozone,2015-01-25,24,26,27,26,24,22,22,25,26,26,26,29,30,30,31,31,28,26,25,24,24,24,24,23
31103,Ozone,2015-01-26,24,25,23,20,21,22,19,15,15,18,21,22,26,28,27,26,24,25,27,26,27,25,27,26
31103,Ozone,2015-01-27,26,26,25,25,25,23,21,17,17,19,23,24,27,27,25,24,25,21,19,21,20,16,13,17
31103,Ozone,2015-01-28,16,12,14,13,6,8,16,13,9,15,20,27,32,27,23,20,15,9,17,23,20,12,8,5
31103,Ozone,2015-01-29,15,27,32,30,23,21,20,17,20,21,20,15,16,29,25,25,19,5,2,2,7,9,21,24
31103,Ozone,2015-01-30,23,27,26,25,21,27,26,25,27,28,30,31,34,34,34,33,31,28,27,25,22,19,14,13
31103,Ozone,2015-01-31,18,16,4,1,0,0,5,3,10,12,17,28,29,27,31,30,28,27,23,25,19,17,18,16
31103,Ozone,2015-02-01,17,16,16,25,24,27,24,23,23,24,24,23,23,23,26,27,25,21,20,20,21,22,25,27
31103,Ozone,2015-02-02,29,29,26,27,28,26,23,23,23,24,26,27,30,30,29,30,28,23,25,22,19,20,16,14
31103,Ozone,2015-02-03,6,13,11,10,17,13,8,12,18,16,18,24,28,30,31,28,29,31,28,24,18,16,15,12
31103,Ozone,2015-02-04,10,22,18,16,7,4,7,4,2,3,2,3,4,6,17,20,19,22,24,21,25,26,27,29
31103,Ozone,2015-02-05,28,27,28,27,23,23,17,9,16,21,27,29,29,30,29,27,30,29,22,16,17,20,24,25
31103,Ozone,2015-02-06,28,24,31,27,28,19,23,16,21,21,27,30,30,32,31,33,29,30,28,27,22,19,19,19
31103,Ozone,2015-02-07,13,12,13,17,16,13,7,5,7,9,12,14,7,11,16,17,15,16,22,22,26,26,26,25
31103,Ozone,2015-02-08,26,29,27,27,28,22,24,21,20,19,19,20,18,19,21,21,22,20,19,20,23,23,23,23
31103,Ozone,2015-02-09,23,23,23,24,24,24,21,18,16,18,21,19,19,19,19,18,20,17,17,16,17,20,21,18
31103,Ozone,2015-02-10,19,18,16,17,18,13,8,3,10,20,25,27,28,29,28,26,26,22,20,18,13,19,18,10
31103,Ozone,2015-02-11,25,26,23,22,24,25,25,22,21,26,25,27,25,24,23,19,22,19,14,8,10,8,8,11
31103,Ozone,2015-02-12,16,25,26,27,27,26,18,14,19,24,25,25,27,27,28,28,28,26,26,22,25,25,24,21
31103,Ozone,2015-02-13,22,22,21,22,21,18,11,9,11,16,19,17,19,22,25,27,29,26,26,28,31,29,30,30
31103,Ozone,2015-02-14,29,23,19,16,17,18,19,16,21,20,24,29,31,32,32,31,29,26,24,25,26,26,26,26
31103,Ozone,2015-02-15,28,27,26,25,25,24,23,23,24,26,27,28,29,29,29,30,30,28,28,27,24,22,23,24
31103,Ozone,2015-02-16,23,20,18,15,16,14,6,8,14,19,22,23,23,24,24,24,21,16,17,14,12,3,1,1
31103,Ozone,2015-02-17,1,1,1,1,0,0,0,1,4,10,11,20,30,32,31,33,34,33,32,29,20,14,11,8
31103,Ozone,2015-02-18,9,6,1,1,5,7,5,5,5,14,24,30,9999,9999,29,27,19,21,28,26,28,30,29,30
31103,Ozone,2015-02-19,27,26,27,24,25,23,18,19,24,25,27,30,31,33,33,34,31,31,27,27,25,26,25,21
31103,Ozone,2015-02-20,19,21,20,21,21,19,16,12,17,23,23,24,26,29,28,29,27,26,20,18,16,14,12,26
31103,Ozone,2015-02-21,27,27,24,25,26,24,24,26,27,26,21,19,21,20,16,16,17,7,17,8,3,2,1,1
31103,Ozone,2015-02-22,3,2,3,2,3,2,2,6,8,10,24,22,22,24,31,38,32,35,32,31,27,24,24,24
31103,Ozone,2015-02-23,27,26,26,24,23,21,15,16,17,20,23,24,27,28,30,29,28,27,24,24,22,15,22,19
31103,Ozone,2015-02-24,14,16,19,19,20,21,18,21,25,28,30,33,36,37,37,39,37,37,37,36,34,34,31,31
31103,Ozone,2015-02-25,32,30,21,23,26,32,32,24,27,31,34,35,35,35,34,33,31,29,24,20,19,20,21,16
31103,Ozone,2015-02-26,10,9,9,15,13,10,11,8,11,17,19,21,25,26,28,29,26,22,21,23,19,18,20,23
31103,Ozone,2015-02-27,17,19,17,15,13,5,2,2,8,21,26,31,33,33,36,34,34,33,31,28,28,24,16,8
31103,Ozone,2015-02-28,8,7,4,3,4,4,5,12,17,19,31,34,36,39,40,40,40,39,34,27,24,24,24,9
31103,Ozone,2015-03-01,8,1,5,1,9,6,6,28,5,11,18,25,36,35,34,31,33,36,35,31,36,42,44,41
31103,Ozone,2015-03-02,41,44,38,31,29,28,31,23,25,34,37,39,41,41,40,40,40,38,34,31,22,16,16,7
31103,Ozone,2015-03-03,7,9,4,2,5,3,2,19,30,28,29,32,32,24,26,29,29,29,31,28,29,24,23,29
31103,Ozone,2015-03-04,30,30,32,32,32,35,29,23,25,30,32,38,40,40,38,35,34,35,35,34,34,28,30,32
31103,Ozone,2015-03-05,31,30,32,31,29,24,18,18,16,19,22,23,26,28,29,29,28,25,22,20,16,19,16,9
31103,Ozone,2015-03-06,4,5,11,7,3,2,2,5,15,24,34,36,37,40,40,43,43,42,41,41,43,42,40,43
31103,Ozone,2015-03-07,41,37,38,40,36,35,28,28,32,30,36,40,40,44,44,45,46,45,42,37,35,32,30,20
31103,Ozone,2015-03-08,22,24,-999,-999,25,32,33,35,38,43,43,44,45,45,45,45,43,45,44,49,50,52,47,48
31103,Ozone,2015-03-09,41,39,42,41,35,23,11,11,15,25,31,35,41,46,46,45,45,40,44,43,38,35,28,26
31103,Ozone,2015-03-10,25,32,38,46,43,39,32,25,27,25,24,17,36,31,27,22,32,36,30,32,32,19,19,28
31103,Ozone,2015-03-11,29,24,26,25,26,21,11,7,25,35,38,40,41,41,41,41,42,40,36,32,34,37,38,35
31103,Ozone,2015-03-12,34,31,31,28,27,24,16,24,28,31,36,37,39,36,39,38,37,32,29,25,19,15,14,20
31103,Ozone,2015-03-13,16,20,26,30,31,32,32,33,36,38,40,40,40,41,42,42,44,43,42,41,41,40,41,34
31103,Ozone,2015-03-14,31,26,21,20,30,27,18,16,14,13,14,15,19,14,19,34,35,36,34,34,35,32,32,31
