Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
31103,Fine Particulate Matter,2015-01-01,6,7,7,7,7,6,6,6,6,6,7,7,7,6,7,7,8,9,9,9,9,8,8,8
31103,Fine Particulate Matter,2015-01-02,8,8,9,9,9,5,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,7
31103,Fine Particulate Matter,2015-01-03,8,8,7,7,6,7,7,8,7,7,8,9,10,11,11,10,9,9,10,10,11,11,8,7
31103,Fine Particulate Matter,2015-01-04,7,6,7,7,5,3,3,3,3,3,4,6,6,4,4,3,4,5,6,6,7,5,4,4
31103,Fine Particulate Matter,2015-01-05,4,5,5,4,5,5,5,5,4,5,5,5,4,4,4,4,5,6,6,6,7,6,7,7
31103,Fine Particulate Matter,2015-01-06,7,7,7,8,8,8,8,8,8,8,7,7,7,7,8,8,8,9,9,10,10,10,10,9
31103,Fine Particulate Matter,2015-01-07,6,6,5,5,4,4,5,5,5,6,6,5,5,5,5,5,5,6,7,7,7,6,6,6
31103,Fine Particulate Matter,2015-01-08,5,5,5,4,4,4,4,4,4,5,5,5,6,6,7,6,5,5,6,6,6,6,6,5
31103,Fine Particulate Matter,2015-01-09,6,8,8,8,8,8,8,8,7,8,8,5,5,5,5,5,5,6,6,7,6,7,6,6
31103,Fine Particulate Matter,2015-01-10,6,7,7,7,7,7,7,8,8,8,8,7,6,6,6,6,5,5,7,7,8,9,9,9
31103,Fine Particulate Matter,2015-01-11,10,12,10,10,9,10,10,9,9,11,10,11,12,10,10,10,9,9,9,10,12,12,10,10
31103,Fine Particulate Matter,2015-01-12,11,12,13,14,15,16,18,19,20,24,27,28,28,12,7,6,6,7,7,6,6,6,6,6
31103,Fine Particulate Matter,2015-01-13,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,6,6,7,7,8,8,10,10,9
31103,Fine Particulate Matter,2015-01-14,10,10,9,6,5,5,5,6,8,8,6,6,8,10,10,9,8,7,9,12,17,20,20,21
31103,Fine Particulate Matter,2015-01-15,23,23,23,23,23,24,19,19,20,22,20,18,19,18,19,19,20,23,23,22,23,24,26,28
31103,Fine Particulate Matter,2015-01-16,30,31,34,35,29,6,5,5,5,6,7,6,8,7,6,6,6,7,7,8,8,8,9,8
31103,Fine Particulate Matter,2015-01-17,9,9,9,8,9,8,9,7,6,6,6,6,6,7,8,8,8,9,11,12,13,10,8,7
31103,Fine Particulate Matter,2015-01-18,7,7,8,8,8,8,9,14,15,14,13,14,14,15,13,12,11,12,10,9,7,6,5,4
31103,Fine Particulate Matter,2015-01-19,4,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,6
31103,Fine Particulate Matter,2015-01-20,6,7,7,7,7,6,6,6,5,4,4,4,4,4,5,6,7,7,9,10,10,9,8,7
31103,Fine Particulate Matter,2015-01-21,6,6,6,6,6,6,6,6,7,7,8,8,7,7,7,8,9,10,12,13,13,12,11,10
31103,Fine Particulate Matter,2015-01-22,11,11,12,11,14,14,14,14,16,19,18,15,15,12,10,9,10,11,12,14,13,13,12,13
31103,Fine Particulate Matter,2015-01-23,14,15,16,15,14,13,12,13,12,12,12,13,13,13,13,14,15,18,19,17,18,18,18,20
31103,Fine Particulate Matter,2015-01-24,18,19,21,22,22,22,19,18,21,24,31,34,34,36,38,38,36,34,30,28,19,14,9,3
31103,Fine Particulate Matter,2015-01-25,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,7,7,7,6,6,5
31103,Fine Particulate Matter,2015-01-26,5,6,6,5,5,5,5,5,5,7,6,6,5,5,5,5,6,7,7,7,6,6,6,5
31103,Fine Particulate Matter,2015-01-27,5,6,6,6,5,5,5,4,5,5,5,5,5,5,6,6,6,6,7,8,7,6,6,5
31103,Fine Particulate Matter,2015-01-28,5,6,5,5,5,5,4,4,4,5,4,4,4,6,7,8,9,10,10,9,9,11,11,11
31103,Fine Particulate Matter,2015-01-29,10,8,8,9,9,10,10,9,8,8,8,9,9,7,7,8,9,12,15,18,19,19,16,15
31103,Fine Particulate Matter,2015-01-30,12,10,9,8,8,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,7,7,7,6
31103,Fine Particulate Matter,2015-01-31,6,7,7,9,9,8,7,7,8,8,7,7,8,9,10,10,10,11,14,15,19,21,23,24
31103,Fine Particulate Matter,2015-02-01,24,25,22,7,8,7,7,6,6,7,7,7,7,7,7,7,8,8,8,7,7,7,6,5
31103,Fine Particulate Matter,2015-02-02,4,4,4,4,4,3,4,3,4,5,5,5,4,4,4,4,6,7,7,8,8,7,7,7
31103,Fine Particulate Matter,2015-02-03,7,6,7,7,7,7,8,8,8,8,9,10,9,9,9,8,8,9,10,12,13,14,16,18
31103,Fine Particulate Matter,2015-02-04,17,14,14,14,16,16,16,15,15,16,20,21,25,28,20,20,17,13,8,9,8,7,7,6
31103,Fine Particulate Matter,2015-02-05,6,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,6,7,8,8,8,8,7
31103,Fine Particulate Matter,2015-02-06,8,9,9,9,9,10,9,10,11,13,13,13,14,14,15,15,15,16,18,19,19,21,22,23
31103,Fine Particulate Matter,2015-02-07,25,26,27,28,29,30,30,32,30,30,29,30,37,28,21,19,15,13,13,13,11,10,10,10
31103,Fine Particulate Matter,2015-02-08,9,9,9,9,9,9,9,9,9,10,10,10,10,10,9,8,8,9,8,8,8,7,7,7
31103,Fine Particulate Matter,2015-02-09,7,8,8,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,10,10,10,9,9,9
31103,Fine Particulate Matter,2015-02-10,9,10,11,10,9,9,9,9,9,10,9,9,9,10,9,8,8,10,11,12,12,11,10,10
31103,Fine Particulate Matter,2015-02-11,8,9,8,8,9,9,8,8,8,8,10,13,15,16,17,15,18,22,27,30,28,26,23,21
31103,Fine Particulate Matter,2015-02-12,18,10,6,5,5,5,5,5,6,6,7,6,6,6,6,6,6,7,7,8,7,6,7,7
31103,Fine Particulate Matter,2015-02-13,6,6,6,7,8,9,10,9,10,11,11,12,11,10,10,10,10,11,11,10,8,9,8,8
31103,Fine Particulate Matter,2015-02-14,10,13,15,15,15,13,13,12,10,11,9,7,6,6,6,7,8,9,10,10,10,10,10,9
31103,Fine Particulate Matter,2015-02-15,9,8,9,8,8,8,7,7,7,6,6,6,5,5,6,6,5,6,6,6,6,6,6,6
31103,Fine Particulate Matter,2015-02-16,6,7,7,7,7,6,7,7,7,7,6,6,7,8,9,9,11,11,11,11,11,13,14,14
31103,Fine Particulate Matter,2015-02-17,13,12,15,14,14,14,14,13,13,13,18,16,12,11,11,10,11,13,14,14,15,18,18,20
31103,Fine Particulate Matter,2015-02-18,22,23,25,25,25,23,23,26,31,27,19,14,9999,9999,11,12,16,13,10,8,6,4,4,4
31103,Fine Particulate Matter,2015-02-19,5,5,6,7,6,6,6,6,5,6,5,5,5,5,5,6,6,6,7,7,8,7,7,7
31103,Fine Particulate Matter,2015-02-20,7,7,7,6,6,6,7,7,7,6,6,6,6,6,8,7,8,8,10,10,10,11,12,10
31103,Fine Particulate Matter,2015-02-21,10,12,12,12,11,11,11,10,10,10,11,13,14,15,17,16,15,21,17,21,24,26,31,35
31103,Fine Particulate Matter,2015-02-22,36,35,33,31,29,27,30,28,32,38,43,47,48,50,54,36,21,9,8,7,8,8,8,8
31103,Fine Particulate Matter,2015-02-23,7,7,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,8,8,8,9,8,9
31103,Fine Particulate Matter,2015-02-24,9,9,10,10,13,12,13,11,10,9,10,9,9,8,9,9,7,7,9,10,11,12,13,15
31103,Fine Particulate Matter,2015-02-25,16,17,18,20,11,3,3,4,5,5,5,4,4,5,6,6,7,8,9,9,9,9,8,8
31103,Fine Particulate Matter,2015-02-26,9,10,9,8,8,8,8,8,9,9,10,9,9,8,8,7,8,8,9,9,9,9,8,7
31103,Fine Particulate Matter,2015-02-27,8,9,9,8,7,8,9,10,9,7,7,6,6,6,6,7,7,7,8,8,9,9,11,13
31103,Fine Particulate Matter,2015-02-28,17,20,22,23,24,25,26,27,30,27,18,17,18,15,15,13,13,14,16,17,19,21,23,26
31103,Fine Particulate Matter,2015-03-01,27,28,25,27,22,22,21,17,31,32,27,23,15,15,15,17,17,19,21,26,34,31,25,24
31103,Fine Particulate Matter,2015-03-02,27,31,39,43,46,43,30,26,20,15,13,8,5,4,3,2,3,3,4,5,6,7,8,9
31103,Fine Particulate Matter,2015-03-03,11,13,16,17,17,16,17,17,11,12,12,8,10,13,10,8,9,8,9,10,10,13,12,11
31103,Fine Particulate Matter,2015-03-04,10,9,7,8,11,11,16,18,21,22,20,16,16,15,14,11,10,10,9,9,8,7,7,6
31103,Fine Particulate Matter,2015-03-05,7,7,6,5,6,6,7,8,9,10,9,9,9,8,8,7,7,7,7,7,7,8,9,9
31103,Fine Particulate Matter,2015-03-06,9,10,10,10,10,11,11,12,11,11,10,9,9,8,9,9,9,10,13,13,17,19,19,18
