Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Nitrogen Oxide,2015-01-01,1,2,1,1,1,1,1,1,1,2,2,3,3,2,3,3,2,2,2,2,1,2,1,1
33003,Nitrogen Oxide,2015-01-02,1,1,1,1,1,1,3,4,5,4,4,4,5,5,6,5,5,7,7,6,11,31,24,12
33003,Nitrogen Oxide,2015-01-03,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33003,Nitrogen Oxide,2015-01-04,1,1,1,9999,2,2,3,4,12,15,25,37,25,9,6,5,4,4,4,4,3,2,2,1
33003,Nitrogen Oxide,2015-01-05,1,1,1,1,1,2,2,3,4,5,5,5,6,5,5,6,4,4,4,3,4,3,2,3
33003,Nitrogen Oxide,2015-01-06,3,3,1,1,2,3,8,10,16,15,13,12,11,9,9,9,10,5,3,4,4,3,2,2
33003,Nitrogen Oxide,2015-01-07,1,1,1,1,2,2,5,7,13,11,9,10,8,8,11,11,10,16,11,12,18,12,6,5
33003,Nitrogen Oxide,2015-01-08,4,2,2,1,1,2,3,5,7,7,8,7,9,8,9,6,4,3,3,2,2,2,1,2
33003,Nitrogen Oxide,2015-01-09,1,1,1,1,1,2,4,6,10,10,9,6,5,5,5,7,4,4,4,3,3,2,2,2
33003,Nitrogen Oxide,2015-01-10,2,1,1,1,1,1,2,2,4,7,8,7,6,4,4,4,3,3,3,4,3,5,3,3
33003,Nitrogen Oxide,2015-01-11,4,3,2,9999,1,1,2,5,3,3,4,5,6,8,6,4,3,3,4,4,3,3,2,2
33003,Nitrogen Oxide,2015-01-12,1,2,1,1,3,6,12,24,30,34,37,34,20,16,12,10,6,8,8,7,4,3,3,2
33003,Nitrogen Oxide,2015-01-13,3,3,3,4,4,6,10,15,28,22,7,8,8,9,8,6,3,2,9,7,3,5,2,1
33003,Nitrogen Oxide,2015-01-14,2,5,2,1,0,1,25,23,24,28,12,8,16,29,27,20,16,33,46,55,22,20,25,16
33003,Nitrogen Oxide,2015-01-15,8,10,8,14,10,8,18,16,26,22,24,18,15,11,12,8,5,4,3,3,2,3,2,2
33003,Nitrogen Oxide,2015-01-16,2,1,1,2,2,2,4,6,10,12,12,10,10,8,9,11,10,11,15,12,15,18,11,7
33003,Nitrogen Oxide,2015-01-17,4,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,0,1,6,1,2
33003,Nitrogen Oxide,2015-01-18,1,1,1,9999,0,0,1,1,1,2,4,4,4,6,5,4,4,4,6,4,5,6,6,3
33003,Nitrogen Oxide,2015-01-19,3,1,1,1,2,3,6,8,12,10,7,8,8,8,8,12,10,13,9,7,7,5,3,3
33003,Nitrogen Oxide,2015-01-20,4,2,4,1,2,6,15,17,26,25,21,14,12,10,7,12,14,17,18,21,10,6,8,5
33003,Nitrogen Oxide,2015-01-21,7,9,9,15,25,63,88,110,27,12,8,7,2,2,3,3,2,2,3,2,2,1,2,4
33003,Nitrogen Oxide,2015-01-22,5,2,1,2,4,14,51,63,63,28,18,15,13,9,8,11,9,6,6,6,6,5,3,2
33003,Nitrogen Oxide,2015-01-23,2,2,1,1,1,2,3,4,5,5,5,5,6,5,5,5,4,3,3,3,3,4,2,2
33003,Nitrogen Oxide,2015-01-24,2,2,2,1,1,2,2,5,6,7,7,9,10,10,11,10,9,11,10,9,7,3,3,2
33003,Nitrogen Oxide,2015-01-25,1,1,1,9999,1,1,1,2,3,4,5,5,4,5,4,5,5,4,4,4,3,3,4,3
33003,Nitrogen Oxide,2015-01-26,0,0,0,0,0,0,1,2,3,4,5,3,2,2,2,2,2,1,1,1,0,1,2,1
33003,Nitrogen Oxide,2015-01-27,1,3,3,3,3,4,2,5,8,11,8,7,7,6,6,7,9,14,11,8,7,6,4,3
33003,Nitrogen Oxide,2015-01-28,4,3,1,2,2,8,17,23,27,22,13,11,11,7,9,12,17,17,15,14,7,10,21,35
33003,Nitrogen Oxide,2015-01-29,6,4,1,0,0,0,0,0,1,0,0,0,1,4,6,6,15,15,24,14,9,8,4,3
33003,Nitrogen Oxide,2015-01-30,5,2,2,2,2,2,4,5,9,8,9,10,12,9,9,9,9,11,9,10,8,9,6,5
33003,Nitrogen Oxide,2015-01-31,4,6,6,28,19,12,26,44,44,27,29,17,8,8,8,8,7,6,4,4,3,3,3,2
33003,Nitrogen Oxide,2015-02-01,2,3,2,9999,1,2,2,2,3,4,6,4,2,2,2,2,1,1,1,1,1,1,0,1
33003,Nitrogen Oxide,2015-02-02,1,1,2,3,2,2,5,6,7,6,7,9,8,9,8,10,8,10,10,11,8,7,8,6
33003,Nitrogen Oxide,2015-02-03,5,12,2,7,6,3,11,15,18,15,23,16,10,7,7,8,6,6,3,4,3,4,4,3
33003,Nitrogen Oxide,2015-02-04,3,2,1,2,3,11,18,23,31,30,34,31,31,25,9,10,8,10,7,7,7,5,4,3
33003,Nitrogen Oxide,2015-02-05,2,2,2,2,2,3,9,17,19,20,13,13,12,9,12,11,12,8,8,11,8,4,3,1
33003,Nitrogen Oxide,2015-02-06,1,1,1,1,1,3,4,6,12,11,11,12,11,9,7,8,6,6,4,3,3,3,3,2
33003,Nitrogen Oxide,2015-02-07,2,2,2,2,1,2,7,11,14,17,14,10,11,6,4,3,2,1,0,0,0,0,0,0
33003,Nitrogen Oxide,2015-02-08,0,0,0,9999,0,1,1,0,1,2,5,4,5,4,2,2,1,2,1,1,1,2,2,1
33003,Nitrogen Oxide,2015-02-09,1,1,1,2,3,3,6,7,6,6,7,8,11,11,10,8,6,4,6,4,5,4,3,4
33003,Nitrogen Oxide,2015-02-10,3,3,2,1,2,5,7,18,21,15,10,8,6,3,3,3,2,1,0,1,7,37,42,58
33003,Nitrogen Oxide,2015-02-11,23,12,3,1,1,0,0,0,1,1,1,4,3,5,6,7,7,7,5,6,6,5,5,6
33003,Nitrogen Oxide,2015-02-12,2,1,1,2,1,3,4,8,11,11,9,11,10,8,10,9,9,10,7,9,6,5,4,3
33003,Nitrogen Oxide,2015-02-13,3,2,2,1,2,5,12,21,20,21,23,21,23,24,15,10,8,6,5,4,3,2,2,1
33003,Nitrogen Oxide,2015-02-14,2,2,1,1,1,2,2,3,8,10,8,7,8,8,7,9,7,7,5,6,4,3,3,2
33003,Nitrogen Oxide,2015-02-15,2,1,1,9999,1,1,1,2,3,4,5,-999,-999,-999,-999,4,4,4,5,3,3,3,3,3
33003,Nitrogen Oxide,2015-02-16,2,1,1,1,1,4,8,16,14,9,9,9,7,10,18,15,10,8,11,17,21,24,22,15
33003,Nitrogen Oxide,2015-02-17,27,28,61,91,75,37,10,27,17,20,19,29,24,11,10,9,8,9,8,5,6,7,11,13
33003,Nitrogen Oxide,2015-02-18,10,40,32,15,4,8,20,43,44,44,29,36,20,12,10,11,14,12,11,7,5,4,3,2
