Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Nitrogen Dioxide,2015-01-01,10,11,10,11,11,11,7,7,6,6,6,6,6,6,7,8,8,10,10,10,9,9,9,8
33003,Nitrogen Dioxide,2015-01-02,8,10,10,11,7,8,12,13,13,11,9,8,8,8,11,10,13,17,17,21,30,44,45,36
33003,Nitrogen Dioxide,2015-01-03,31,23,22,21,17,6,5,4,4,4,4,4,5,5,5,5,5,6,6,7,7,8,11,12
33003,Nitrogen Dioxide,2015-01-04,12,17,16,9999,17,19,20,22,24,24,24,26,23,13,10,11,9,9,8,9,9,6,5,4
33003,Nitrogen Dioxide,2015-01-05,4,3,3,3,4,4,6,12,11,11,9,10,9,11,11,11,12,12,15,15,17,17,14,20
33003,Nitrogen Dioxide,2015-01-06,21,22,18,14,15,17,22,27,32,25,22,19,18,16,17,17,18,16,14,16,17,18,16,16
33003,Nitrogen Dioxide,2015-01-07,10,10,10,8,7,6,11,12,16,12,10,10,9,9,12,14,15,23,25,29,38,28,25,30
33003,Nitrogen Dioxide,2015-01-08,26,19,17,14,12,11,13,19,18,17,17,15,15,14,15,15,13,13,12,12,11,10,10,11
33003,Nitrogen Dioxide,2015-01-09,10,12,12,12,12,12,16,17,21,16,15,10,9,8,9,15,12,13,15,13,11,12,13,10
33003,Nitrogen Dioxide,2015-01-10,9,8,10,9,9,10,13,15,15,14,13,11,9,8,8,9,10,12,11,16,16,18,20,21
33003,Nitrogen Dioxide,2015-01-11,24,26,19,9999,16,14,21,32,18,14,13,13,14,16,16,14,15,15,16,17,18,21,21,20
33003,Nitrogen Dioxide,2015-01-12,10,17,18,19,22,27,30,32,34,33,32,30,25,23,20,18,15,18,15,15,11,9,8,8
33003,Nitrogen Dioxide,2015-01-13,8,9,9,12,15,18,25,30,37,27,12,12,12,14,16,17,17,23,37,38,31,35,23,23
33003,Nitrogen Dioxide,2015-01-14,23,34,32,26,4,9,43,41,36,31,19,13,23,35,36,31,32,45,50,52,49,47,47,44
33003,Nitrogen Dioxide,2015-01-15,39,39,39,42,43,39,42,39,36,28,29,25,22,19,23,21,20,22,19,18,17,19,19,20
