Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Nitrogen Oxides,2015-01-01,11,13,12,12,12,12,8,8,7,7,8,9,9,9,10,10,11,12,12,12,11,11,10,9
33003,Nitrogen Oxides,2015-01-02,9,11,11,12,8,9,15,17,18,15,13,12,13,13,17,15,18,24,24,26,41,75,68,48
33003,Nitrogen Oxides,2015-01-03,33,24,24,22,18,6,5,4,4,4,5,5,5,5,5,5,6,6,6,7,8,8,11,13
33003,Nitrogen Oxides,2015-01-04,13,18,17,9999,18,20,24,26,35,39,48,63,49,23,16,16,13,12,11,12,12,8,8,5
33003,Nitrogen Oxides,2015-01-05,6,4,3,4,5,6,8,16,15,16,13,15,15,16,17,17,16,16,19,18,21,20,17,22
33003,Nitrogen Oxides,2015-01-06,24,24,19,14,17,19,31,36,48,40,35,31,29,25,26,27,27,22,18,20,21,21,19,18
33003,Nitrogen Oxides,2015-01-07,11,10,10,9,9,8,16,19,28,22,19,20,17,17,22,25,25,39,36,42,55,40,31,35
33003,Nitrogen Oxides,2015-01-08,30,21,19,15,13,13,16,23,25,24,25,22,23,22,24,21,17,15,15,14,13,12,11,13
33003,Nitrogen Oxides,2015-01-09,11,13,13,13,13,15,19,23,31,27,24,17,14,14,14,22,16,17,20,16,14,14,16,12
33003,Nitrogen Oxides,2015-01-10,11,10,11,10,9,11,15,18,19,20,21,19,15,12,12,13,13,15,14,20,18,23,23,24
33003,Nitrogen Oxides,2015-01-11,28,29,21,9999,17,15,23,37,22,17,17,18,21,24,22,18,18,17,20,21,21,24,23,22
33003,Nitrogen Oxides,2015-01-12,12,19,19,20,25,33,41,56,64,67,70,64,45,39,32,28,21,27,23,21,15,12,10,10
33003,Nitrogen Oxides,2015-01-13,11,11,12,16,19,24,35,45,65,50,18,20,20,23,24,24,20,25,46,45,34,40,24,24
33003,Nitrogen Oxides,2015-01-14,25,39,34,27,4,9,68,64,59,59,31,21,39,64,63,51,47,77,96,107,72,67,72,60
33003,Nitrogen Oxides,2015-01-15,47,48,47,56,52,47,60,55,62,50,53,43,38,30,35,29,25,25,22,20,19,21,21,22
33003,Nitrogen Oxides,2015-01-16,22,22,22,26,20,10,14,18,28,28,27,22,25,19,22,25,24,29,44,37,49,55,43,36
33003,Nitrogen Oxides,2015-01-17,30,16,13,16,18,19,20,28,7,4,4,4,6,8,7,7,9,10,11,15,26,34,16,19
33003,Nitrogen Oxides,2015-01-18,14,9,9,9999,9,9,16,10,10,14,16,14,13,20,21,18,21,23,24,21,23,23,25,14
33003,Nitrogen Oxides,2015-01-19,13,10,7,9,7,9,17,20,28,23,17,18,17,16,18,24,25,33,25,21,22,21,14,15
33003,Nitrogen Oxides,2015-01-20,18,15,18,9,16,27,44,48,58,56,47,34,30,26,20,31,38,48,53,61,42,34,38,33
33003,Nitrogen Oxides,2015-01-21,39,46,50,59,72,112,143,165,68,42,32,30,14,12,18,18,19,22,26,17,16,14,19,21
33003,Nitrogen Oxides,2015-01-22,27,18,15,18,27,47,94,107,107,59,43,37,33,24,23,28,31,25,30,32,34,33,26,18
33003,Nitrogen Oxides,2015-01-23,18,16,19,16,13,14,18,18,20,16,15,15,16,15,15,16,18,20,16,14,19,21,17,16
33003,Nitrogen Oxides,2015-01-24,18,23,19,16,15,17,20,27,25,23,25,28,30,30,32,29,31,35,36,35,32,19,14,10
33003,Nitrogen Oxides,2015-01-25,7,6,6,9999,5,6,7,9,9,11,12,14,12,13,13,16,19,18,15,17,15,17,21,19
33003,Nitrogen Oxides,2015-01-26,7,6,7,9,7,7,12,17,18,16,19,14,10,11,11,11,11,13,9,9,8,9,11,10
33003,Nitrogen Oxides,2015-01-27,9,16,14,18,16,21,16,22,30,33,23,20,19,18,19,22,29,38,36,31,29,22,17,17
33003,Nitrogen Oxides,2015-01-28,22,22,17,17,17,39,50,55,60,50,34,31,29,23,28,38,53,60,60,56,39,44,60,78
33003,Nitrogen Oxides,2015-01-29,38,34,21,13,10,10,11,8,8,7,7,8,11,21,30,28,50,51,65,51,39,32,19,15
33003,Nitrogen Oxides,2015-01-30,17,10,10,10,11,9,13,15,21,20,20,21,26,22,20,21,23,29,26,33,27,34,28,24
33003,Nitrogen Oxides,2015-01-31,22,33,38,70,61,53,69,89,88,63,61,41,24,24,27,28,28,29,21,23,22,21,24,19
33003,Nitrogen Oxides,2015-02-01,18,20,16,9999,9,11,11,12,12,15,18,13,8,11,11,10,10,10,9,10,8,8,6,6
33003,Nitrogen Oxides,2015-02-02,5,5,10,12,10,8,20,25,24,20,19,22,19,21,21,23,21,29,33,38,32,30,37,38
33003,Nitrogen Oxides,2015-02-03,39,54,30,46,43,31,46,57,52,42,52,37,25,21,21,26,22,28,20,20,22,24,26,28
33003,Nitrogen Oxides,2015-02-04,28,26,19,21,27,43,52,57,66,63,67,62,62,54,29,29,26,32,27,29,27,22,20,19
33003,Nitrogen Oxides,2015-02-05,14,10,14,19,17,21,34,44,43,42,30,28,26,20,26,28,33,26,33,43,37,25,23,14
33003,Nitrogen Oxides,2015-02-06,14,14,11,12,16,26,26,29,37,32,29,30,29,25,21,24,23,23,23,22,22,23,24,24
33003,Nitrogen Oxides,2015-02-07,30,27,29,33,30,31,40,43,45,51,43,35,36,25,22,21,19,17,9,6,8,12,11,9
33003,Nitrogen Oxides,2015-02-08,8,9,8,9999,9,10,10,9,10,14,19,15,17,15,12,11,10,13,9,9,8,12,11,9
33003,Nitrogen Oxides,2015-02-09,7,8,9,11,14,19,25,29,23,22,22,24,30,29,28,27,23,20,27,23,25,23,19,20
33003,Nitrogen Oxides,2015-02-10,19,25,23,22,21,23,28,47,50,35,25,20,16,11,11,11,10,11,20,26,46,77,85,105
33003,Nitrogen Oxides,2015-02-11,65,52,33,29,26,5,8,8,8,6,5,13,13,18,22,26,29,33,32,36,37,35,36,36
33003,Nitrogen Oxides,2015-02-12,19,8,8,9,7,12,18,27,26,24,17,21,20,16,19,17,20,25,21,25,20,18,15,13
33003,Nitrogen Oxides,2015-02-13,15,14,12,11,19,24,37,49,44,40,43,40,46,47,33,26,26,23,21,23,19,16,16,15
33003,Nitrogen Oxides,2015-02-14,14,17,17,17,16,16,17,19,25,25,20,18,18,18,16,21,17,18,14,16,12,9,9,7
33003,Nitrogen Oxides,2015-02-15,6,5,4,9999,4,4,5,7,9,9,10,-999,-999,-999,-999,10,11,13,14,12,13,11,13,11
33003,Nitrogen Oxides,2015-02-16,10,9,10,11,11,23,38,50,36,23,21,20,17,24,40,39,34,40,52,61,65,70,68,59
33003,Nitrogen Oxides,2015-02-17,76,76,114,149,130,84,49,71,50,51,47,59,52,29,28,27,29,35,38,29,29,36,48,48
33003,Nitrogen Oxides,2015-02-18,47,86,78,58,38,41,57,87,84,81,55,59,42,32,31,35,43,41,38,28,21,17,15,13
33003,Nitrogen Oxides,2015-02-19,12,11,14,11,11,15,26,34,30,37,36,26,27,24,18,19,18,24,24,20,19,17,18,16
33003,Nitrogen Oxides,2015-02-20,11,13,10,13,11,13,24,36,40,25,23,29,30,27,26,25,23,27,27,29,29,33,44,34
33003,Nitrogen Oxides,2015-02-21,12,14,17,13,13,16,17,23,39,29,26,25,30,38,37,41,44,60,84,70,56,70,103,100
33003,Nitrogen Oxides,2015-02-22,107,78,96,9999,158,153,110,90,91,91,104,34,40,44,38,34,26,21,19,16,22,21,19,15
33003,Nitrogen Oxides,2015-02-23,9,9,7,8,10,13,22,34,35,32,23,23,20,16,15,17,26,21,24,20,22,27,30,25
33003,Nitrogen Oxides,2015-02-24,22,25,27,23,28,27,31,32,29,25,24,21,18,18,19,20,20,18,20,19,21,20,20,19
33003,Nitrogen Oxides,2015-02-25,16,19,22,24,19,11,22,30,27,20,20,19,19,17,16,18,20,31,37,40,43,35,34,31
33003,Nitrogen Oxides,2015-02-26,49,32,35,33,36,40,45,34,30,26,22,27,20,20,20,18,25,32,38,26,24,27,18,22
33003,Nitrogen Oxides,2015-02-27,21,26,24,30,43,62,112,121,77,42,28,26,21,19,18,19,16,20,26,27,26,32,44,44
33003,Nitrogen Oxides,2015-02-28,40,39,46,54,62,52,57,65,77,56,35,30,23,25,23,22,22,24,28,32,43,56,85,102
33003,Nitrogen Oxides,2015-03-01,106,160,136,9999,179,182,92,55,63,105,71,54,49,28,27,29,35,29,30,37,27,20,19,18
33003,Nitrogen Oxides,2015-03-02,16,19,21,20,21,22,36,49,41,20,16,17,13,12,15,16,19,21,23,27,39,46,78,91
