Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Ozone,2015-01-01,23,22,22,20,20,19,19,19,20,21,21,22,22,22,21,20,20,19,19,19,20,20,21,22
33003,Ozone,2015-01-02,20,20,23,21,30,32,29,28,28,30,32,33,33,33,31,31,29,26,25,21,13,2,0,2
33003,Ozone,2015-01-03,5,10,11,12,16,28,28,31,31,31,29,29,26,24,23,23,22,21,20,19,19,18,16,15
33003,Ozone,2015-01-04,14,10,9,9999,8,7,5,3,2,2,2,1,2,6,11,11,17,20,20,19,19,23,25,27
33003,Ozone,2015-01-05,28,31,34,34,33,33,32,26,27,27,28,27,28,27,26,27,27,27,25,25,22,22,24,20
33003,Ozone,2015-01-06,19,16,20,24,22,21,16,12,8,14,17,20,20,20,19,19,20,21,22,21,19,19,19,20
33003,Ozone,2015-01-07,30,30,29,29,30,31,26,23,20,22,24,24,25,25,23,21,20,13,11,7,2,12,14,11
33003,Ozone,2015-01-08,14,18,19,22,26,26,24,19,20,21,21,22,22,23,23,25,27,27,28,28,28,28,28,25
33003,Ozone,2015-01-09,25,22,22,21,20,19,17,17,16,20,22,28,31,31,30,25,28,27,25,26,27,27,26,28
33003,Ozone,2015-01-10,29,29,28,28,28,26,24,20,19,21,22,24,28,30,30,30,29,27,27,23,23,20,19,18
33003,Ozone,2015-01-11,16,14,20,9999,22,23,16,7,17,20,21,20,20,20,21,22,21,21,19,17,17,15,15,16
33003,Ozone,2015-01-12,23,16,15,14,11,6,3,1,1,2,4,5,8,13,21,24,25,21,24,25,28,29,29,28
33003,Ozone,2015-01-13,28,26,26,22,20,18,13,9,6,13,24,24,25,24,24,23,23,18,7,5,10,6,16,15
33003,Ozone,2015-01-14,14,5,6,12,32,29,1,1,4,9,20,27,20,13,13,14,14,4,1,0,1,1,0,2
