Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
33003,Fine Particulate Matter,2015-01-01,9,9,8,8,8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,9,9,8,8
33003,Fine Particulate Matter,2015-01-02,8,8,6,7,3,2,2,2,2,2,2,3,3,4,4,4,3,4,4,5,6,10,11,11
33003,Fine Particulate Matter,2015-01-03,9,8,7,7,7,8,10,7,7,8,9,10,12,14,12,11,11,9,10,11,11,9,6,4
33003,Fine Particulate Matter,2015-01-04,3,4,5,4,4,3,3,3,3,2,4,5,6,3,3,2,2,3,5,5,5,3,2,2
33003,Fine Particulate Matter,2015-01-05,2,2,1,1,2,2,3,3,4,4,5,6,5,4,5,7,6,7,8,8,7,8,7,7
33003,Fine Particulate Matter,2015-01-06,8,9,9,8,8,8,9,10,10,11,10,12,11,9,10,11,10,10,11,12,13,13,11,10
33003,Fine Particulate Matter,2015-01-07,5,5,5,4,3,3,3,4,5,5,5,6,7,9,9,8,6,6,6,8,8,6,6,5
33003,Fine Particulate Matter,2015-01-08,4,4,5,4,3,4,5,5,5,5,6,6,8,8,9,8,6,7,7,7,7,6,6,6
33003,Fine Particulate Matter,2015-01-09,5,6,7,8,8,8,9,8,7,7,7,4,2,2,2,2,3,3,4,5,5,5,5,5
33003,Fine Particulate Matter,2015-01-10,5,5,5,5,5,5,6,8,9,9,10,12,11,9,9,9,9,10,11,13,14,14,15,15
33003,Fine Particulate Matter,2015-01-11,15,14,13,11,10,10,12,13,11,13,13,15,17,16,14,12,11,11,12,12,13,13,12,12
33003,Fine Particulate Matter,2015-01-12,14,16,18,18,20,22,24,26,28,31,33,34,30,8,6,4,4,4,3,3,2,2,3,3
33003,Fine Particulate Matter,2015-01-13,3,3,3,4,4,4,4,6,7,7,6,6,7,7,8,10,9,10,14,11,12,12,10,11
33003,Fine Particulate Matter,2015-01-14,11,12,11,10,3,3,9,10,11,10,8,9,12,15,15,14,14,20,19,20,19,25,28,26
33003,Fine Particulate Matter,2015-01-15,29,29,28,27,27,25,26,24,22,24,26,22,23,20,22,21,23,24,25,24,25,27,29,33
33003,Fine Particulate Matter,2015-01-16,33,34,36,39,21,2,2,2,3,4,5,9,8,6,5,6,5,8,8,7,8,8,7,6
33003,Fine Particulate Matter,2015-01-17,6,4,4,4,4,6,5,7,4,3,3,4,4,5,7,9,11,13,14,16,17,16,9,8
33003,Fine Particulate Matter,2015-01-18,7,6,6,6,6,7,9,18,17,13,13,16,17,18,15,12,13,14,13,10,8,5,4,3
33003,Fine Particulate Matter,2015-01-19,3,3,2,2,2,4,4,4,7,7,9999,8,8,8,13,12,12,9,7,7,6,7,5,5
33003,Fine Particulate Matter,2015-01-20,6,6,6,5,5,6,6,6,6,6,6,5,6,6,5,5,7,8,9,10,8,7,7,6
33003,Fine Particulate Matter,2015-01-21,6,6,7,6,7,9,10,10,7,6,8,10,7,7,8,8,8,9,11,10,9,9,8,8
33003,Fine Particulate Matter,2015-01-22,9,11,12,15,15,15,15,16,16,15,16,18,15,12,9,9,10,12,14,15,15,13,12,12
33003,Fine Particulate Matter,2015-01-23,13,14,17,17,15,13,14,14,13,12,11,13,13,13,14,15,17,18,21,17,17,18,18,19
33003,Fine Particulate Matter,2015-01-24,19,22,26,28,27,27,25,23,24,30,36,41,43,42,41,39,37,35,30,29,23,13,4,1
33003,Fine Particulate Matter,2015-01-25,1,1,2,2,2,3,3,3,2,3,3,4,4,4,4,4,4,4,4,5,4,4,6,4
33003,Fine Particulate Matter,2015-01-26,3,3,3,3,3,3,3,3,5,6,6,5,4,5,4,4,4,4,4,3,3,3,4,8
33003,Fine Particulate Matter,2015-01-27,6,6,5,5,4,4,3,4,3,3,3,4,4,5,4,5,5,6,8,8,6,4,4,4
33003,Fine Particulate Matter,2015-01-28,5,5,5,4,4,5,5,5,5,5,6,8,8,6,7,9,12,14,15,14,9,11,17,15
33003,Fine Particulate Matter,2015-01-29,11,12,9,10,12,11,11,8,7,6,6,7,7,6,8,9,13,15,21,22,21,20,18,14
33003,Fine Particulate Matter,2015-01-30,9,7,7,6,6,4,3,4,4,4,4,4,5,4,4,4,4,5,6,6,6,7,5,5
33003,Fine Particulate Matter,2015-01-31,6,5,5,5,5,6,6,8,9,10,12,11,11,12,13,14,15,17,20,23,26,30,31,29
33003,Fine Particulate Matter,2015-02-01,31,30,16,6,6,6,4,4,3,4,4,4,4,4,5,6,4,3,3,3,3,3,3,2
33003,Fine Particulate Matter,2015-02-02,2,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,7,6,5,4,5,4
33003,Fine Particulate Matter,2015-02-03,5,7,8,10,9,8,10,10,12,13,16,15,14,13,12,10,9,11,12,14,16,19,21,24
33003,Fine Particulate Matter,2015-02-04,22,21,16,17,17,20,21,21,20,19,22,23,30,37,24,21,15,11,8,8,6,6,5,4
33003,Fine Particulate Matter,2015-02-05,4,3,4,4,3,3,4,5,6,6,6,7,8,6,6,7,7,5,7,8,8,7,7,6
33003,Fine Particulate Matter,2015-02-06,7,8,8,9,10,11,10,11,12,12,13,15,17,17,17,19,18,18,19,21,20,20,21,22
33003,Fine Particulate Matter,2015-02-07,25,26,27,29,30,32,33,34,36,39,33,19,17,15,13,12,10,10,7,7,9,10,8,6
33003,Fine Particulate Matter,2015-02-08,6,6,5,6,6,6,6,6,7,7,7,8,8,8,6,6,6,6,6,5,5,5,5,5
33003,Fine Particulate Matter,2015-02-09,4,4,4,5,5,6,6,7,6,6,6,6,7,7,8,9,10,10,11,10,9,9,10,9
33003,Fine Particulate Matter,2015-02-10,11,12,11,11,11,9,9,10,11,8,8,7,7,4,4,5,9,10,13,15,19,16,18,24
33003,Fine Particulate Matter,2015-02-11,17,17,16,15,14,8,7,7,7,6,5,11,15,17,19,20,20,25,29,31,29,28,26,23
33003,Fine Particulate Matter,2015-02-12,18,6,3,3,2,2,3,3,4,4,4,5,7,6,6,5,5,6,6,6,5,5,4,5
33003,Fine Particulate Matter,2015-02-13,6,7,8,9,9,12,14,13,12,11,14,16,18,16,14,11,14,13,11,10,8,7,7,7
33003,Fine Particulate Matter,2015-02-14,9,12,15,15,13,14,14,14,12,12,8,6,6,6,5,7,8,10,9,10,9,8,8,7
33003,Fine Particulate Matter,2015-02-15,8,8,8,7,6,6,6,6,6,6,7,-999,-999,-999,-999,9999,9999,9999,9999,9999,9,9,8,9
33003,Fine Particulate Matter,2015-02-16,9,8,9,8,8,10,12,13,11,12,14,15,8,3,5,7,7,8,10,11,11,14,14,12
33003,Fine Particulate Matter,2015-02-17,15,15,16,18,16,12,11,12,12,11,12,17,17,12,11,10,9,12,13,13,13,16,21,20
33003,Fine Particulate Matter,2015-02-18,22,25,26,25,24,23,25,29,32,32,17,13,14,16,17,16,16,12,11,9,7,5,4,5
33003,Fine Particulate Matter,2015-02-19,4,4,5,6,5,5,5,5,4,5,5,6,9,9,8,9,9,10,10,9,8,7,7,7
33003,Fine Particulate Matter,2015-02-20,6,5,5,5,5,5,5,6,6,7,11,13,13,12,12,11,11,12,12,12,10,11,13,11
33003,Fine Particulate Matter,2015-02-21,10,11,12,12,12,12,11,11,11,11,13,12,13,16,16,17,15,21,25,24,24,24,33,34
33003,Fine Particulate Matter,2015-02-22,35,33,34,35,36,36,34,33,34,33,40,45,51,54,59,45,19,12,10,8,9,9,8,8
33003,Fine Particulate Matter,2015-02-23,6,5,5,5,5,5,5,6,7,6,6,6,8,8,9,8,11,11,11,10,10,10,10,10
33003,Fine Particulate Matter,2015-02-24,10,10,11,10,13,13,15,14,14,14,14,13,12,11,11,11,12,11,12,14,15,15,17,18
33003,Fine Particulate Matter,2015-02-25,21,22,23,24,17,4,4,4,5,6,6,8,7,7,7,7,8,10,12,13,12,10,11,13
33003,Fine Particulate Matter,2015-02-26,10,8,7,7,8,7,8,7,5,5,6,6,5,6,5,5,6,6,9,8,8,9,7,6
33003,Fine Particulate Matter,2015-02-27,7,7,7,7,8,8,9,11,7,8,10,9,8,7,7,7,7,9,11,11,10,11,12,12
33003,Fine Particulate Matter,2015-02-28,14,17,19,22,22,23,25,28,30,26,25,21,16,17,16,15,14,15,18,19,22,26,33,33
33003,Fine Particulate Matter,2015-03-01,31,33,31,30,31,33,28,24,23,31,27,25,24,17,18,19,23,22,26,31,35,34,34,26
33003,Fine Particulate Matter,2015-03-02,28,26,30,37,40,37,31,29,19,13,11,9,6,5,4,3,4,5,5,5,7,9,10,10
33003,Fine Particulate Matter,2015-03-03,9,11,13,12,16,19,20,20,12,10,11,5,7,8,7,7,9,9,9,12,18,16,19,14
33003,Fine Particulate Matter,2015-03-04,11,10,8,8,9,10,14,18,24,24,21,17,16,16,13,10,9,10,10,9,9,8,7,6
33003,Fine Particulate Matter,2015-03-05,5,5,4,4,4,5,7,8,8,8,7,7,7,8,7,6,7,9,11,9,11,10,10,10
33003,Fine Particulate Matter,2015-03-06,8,9,8,9,9,10,12,13,14,14,13,13,12,11,10,11,11,12,15,15,16,18,20,19
33003,Fine Particulate Matter,2015-03-07,20,22,23,21,21,22,22,24,28,31,32,35,30,26,26,30,36,33,32,38,47,46,40,38
33003,Fine Particulate Matter,2015-03-08,46,45,-999,-999,41,33,24,13,5,4,3,3,3,3,3,3,4,5,8,11,19,25,29,30
33003,Fine Particulate Matter,2015-03-09,29,26,16,13,11,10,10,11,8,10,10,11,19,22,18,12,9,7,13,19,23,18,20,28
33003,Fine Particulate Matter,2015-03-10,38,41,43,48,47,51,50,49,47,42,41,32,30,28,31,37,34,30,28,28,30,40,46,46
33003,Fine Particulate Matter,2015-03-11,48,54,60,54,42,38,34,32,18,13,10,6,4,4,4,3,2,2,2,2,3,3,2,2
33003,Fine Particulate Matter,2015-03-12,2,3,3,4,3,4,6,5,4,3,3,4,4,3,3,3,4,6,8,10,12,13,15,9
33003,Fine Particulate Matter,2015-03-13,8,8,7,7,7,5,4,4,3,2,2,3,3,4,4,4,5,5,6,6,6,6,5,5
33003,Fine Particulate Matter,2015-03-14,6,9,14,16,13,14,18,18,25,22,15,10,16,29,27,18,6,4,4,3,3,2,2,2
33003,Fine Particulate Matter,2015-03-15,2,3,3,3,3,3,3,3,5,5,6,7,7,7,8,8,7,8,8,11,16,15,16,15
33003,Fine Particulate Matter,2015-03-16,11,11,13,19,20,21,20,20,14,13,14,16,18,20,26,27,27,26,22,17,14,15,27,26
33003,Fine Particulate Matter,2015-03-17,35,30,10,5,2,3,4,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2
33003,Fine Particulate Matter,2015-03-18,3,3,3,3,3,3,3,3,4,2,3,4,3,4,3,3,5,5,6,5,5,4,4,4
33003,Fine Particulate Matter,2015-03-19,4,4,5,5,5,6,5,4,4,3,9999,3,5,4,3,3,3,4,5,6,7,6,5,3
33003,Fine Particulate Matter,2015-03-20,3,4,5,6,6,6,6,6,7,7,8,8,10,10,11,12,13,13,14,14,16,20,20,20
33003,Fine Particulate Matter,2015-03-21,18,17,17,16,18,22,29,32,35,42,43,11,4,3,2,3,3,4,5,5,5,4,4,3
33003,Fine Particulate Matter,2015-03-22,3,3,4,4,4,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,6,5,4,5
33003,Fine Particulate Matter,2015-03-23,4,4,5,5,5,5,5,5,6,7,7,7,7,7,7,8,9,10,11,8,8,8,7,6
33003,Fine Particulate Matter,2015-03-24,7,7,8,6,7,7,10,8,5,4,5,5,5,5,5,4,5,6,7,7,7,7,6,8
33003,Fine Particulate Matter,2015-03-25,9,9,9,10,11,10,11,10,10,10,11,11,11,12,12,15,21,30,33,30,28,24,27,23
33003,Fine Particulate Matter,2015-03-26,19,16,16,14,14,15,16,20,20,19,18,17,20,22,22,16,14,11,6,7,6,4,3,4
33003,Fine Particulate Matter,2015-03-27,4,4,4,4,3,3,3,4,4,4,5,5,5,4,5,4,5,4,4,4,3,3,3,3
33003,Fine Particulate Matter,2015-03-28,3,3,3,3,3,3,3,2,3,3,3,3,5,5,5,4,4,6,6,5,6,6,4,4
33003,Fine Particulate Matter,2015-03-29,4,4,5,5,5,5,6,6,8,8,9,10,10,8,8,8,9,10,10,8,7,6,7,6
33003,Fine Particulate Matter,2015-03-30,5,7,8,9,8,4,3,2,3,2,2,1,2,2,2,1,2,2,3,3,3,4,3,3
33003,Fine Particulate Matter,2015-03-31,5,5,6,6,7,8,8,8,6,4,4,4,5,4,4,4,6,8,8,7,6,6,6,6
33003,Fine Particulate Matter,2015-04-01,6,6,6,5,5,6,9,7,4,4,4,4,4,4,3,3,5,9,7,7,6,6,7,6
33003,Fine Particulate Matter,2015-04-02,6,6,6,7,8,9,11,13,11,7,6,6,7,8,7,8,8,10,12,17,16,14,10,6
33003,Fine Particulate Matter,2015-04-03,6,7,9,10,12,14,16,23,11,8,6,9,12,15,18,19,5,2,5,6,6,3,2,2
33003,Fine Particulate Matter,2015-04-04,2,2,2,3,3,3,4,3,4,4,6,7,6,5,5,4,5,5,6,6,8,10,9,7
33003,Fine Particulate Matter,2015-04-05,5,5,4,4,4,5,5,6,8,7,7,8,10,10,11,11,10,11,11,13,15,15,17,20
33003,Fine Particulate Matter,2015-04-06,20,16,15,16,27,29,24,20,14,9,8,8,7,7,7,7,6,6,7,7,7,8,7,6
33003,Fine Particulate Matter,2015-04-07,4,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
33003,Fine Particulate Matter,2015-04-08,4,4,5,5,4,4,4,4,6,8,8,9,8,6,5,4,3,3,3,3,3,2,2,3
33003,Fine Particulate Matter,2015-04-09,5,7,6,6,9,8,7,5,4,4,6,8,8,9,6,5,6,6,8,9,8,5,12,6
