Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34020,Nitrogen Oxide,2015-01-01,1,1,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,1
34020,Nitrogen Oxide,2015-01-02,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,25,35
34020,Nitrogen Oxide,2015-01-03,50,13,4,2,2,2,3,2,3,3,3,4,4,4,4,4,3,4,4,5,7,6,6,7
34020,Nitrogen Oxide,2015-01-04,6,7,5,7,3,2,5,6,9,18,18,33,20,4,2,1,1,0,0,1,0,0,0,1
34020,Nitrogen Oxide,2015-01-05,0,0,0,0,0,0,0,1,2,2,3,2,2,2,2,2,1,2,1,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-06,1,1,1,1,1,1,1,3,9,10,8,7,6,5,4,4,2,1,1,1,1,1,1,0
34020,Nitrogen Oxide,2015-01-07,0,0,0,0,0,0,1,1,2,3,2,2,2,2,2,3,3,4,3,2,2,1,2,3
34020,Nitrogen Oxide,2015-01-08,1,1,1,1,1,1,1,1,2,3,5,4,6,5,5,3,2,1,1,2,1,1,1,1
34020,Nitrogen Oxide,2015-01-09,1,1,1,1,1,1,1,1,3,5,5,2,1,1,2,2,2,1,1,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-10,1,0,1,1,1,1,1,1,3,5,6,5,3,2,2,2,2,1,1,1,1,1,1,2
34020,Nitrogen Oxide,2015-01-11,1,1,1,1,0,1,1,1,2,2,3,3,3,3,2,3,3,3,2,2,1,1,1,1
34020,Nitrogen Oxide,2015-01-12,0,1,1,1,1,1,6,13,19,25,26,7,3,1,1,2,1,1,1,1,1,1,2,2
34020,Nitrogen Oxide,2015-01-13,1,1,1,1,1,2,6,13,17,15,10,11,9,8,7,9,24,21,40,40,25,20,11,14
34020,Nitrogen Oxide,2015-01-14,9,4,5,4,6,16,24,46,44,31,24,21,28,13,5,6,4,4,4,12,2,4,3,3
34020,Nitrogen Oxide,2015-01-15,3,3,3,21,8,3,9,23,21,30,30,14,13,8,6,4,2,2,1,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-16,1,1,1,1,0,0,0,0,1,2,2,2,2,1,1,2,2,3,3,1,1,1,2,7
34020,Nitrogen Oxide,2015-01-17,2,2,2,3,2,1,2,6,13,6,4,4,4,3,5,5,4,5,5,7,9,12,4,2
34020,Nitrogen Oxide,2015-01-18,1,2,1,1,1,1,0,0,1,1,2,2,2,1,1,2,1,1,1,1,1,2,0,0
34020,Nitrogen Oxide,2015-01-19,0,0,0,0,0,0,0,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-20,0,0,0,0,0,0,1,2,4,5,4,5,6,4,4,4,4,4,3,1,1,5,4,7
34020,Nitrogen Oxide,2015-01-21,2,2,1,0,3,8,15,32,60,59,23,16,14,8,9,15,17,20,12,7,5,4,3,3
34020,Nitrogen Oxide,2015-01-22,2,0,0,0,1,1,8,22,11,16,9,7,5,3,1,2,2,2,3,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-23,1,1,1,1,1,1,1,2,3,4,4,4,4,2,2,2,2,1,1,1,1,1,1,0
34020,Nitrogen Oxide,2015-01-24,1,1,0,0,0,0,1,1,2,4,4,4,5,4,3,4,3,3,3,2,2,1,0,1
34020,Nitrogen Oxide,2015-01-25,0,0,0,0,0,0,0,0,1,1,2,4,3,2,3,2,2,2,3,2,2,3,3,1
34020,Nitrogen Oxide,2015-01-26,1,1,1,0,0,2,7,8,15,10,7,7,7,7,5,7,9,11,6,6,3,3,2,2
34020,Nitrogen Oxide,2015-01-27,1,1,1,1,1,2,5,10,10,5,5,5,4,3,3,3,5,1,2,1,1,1,1,1
34020,Nitrogen Oxide,2015-01-28,1,1,1,0,1,0,0,2,11,6,3,2,3,2,2,7,7,15,20,8,12,7,8,19
34020,Nitrogen Oxide,2015-01-29,13,7,10,4,4,2,3,6,6,4,4,4,3,6,5,4,4,7,12,2,2,3,3,3
34020,Nitrogen Oxide,2015-01-30,8,8,0,1,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2
34020,Nitrogen Oxide,2015-01-31,2,1,6,21,40,36,32,23,9,13,14,12,7,5,5,4,2,2,1,1,0,1,1,1
34020,Nitrogen Oxide,2015-02-01,1,0,1,0,0,0,1,1,1,4,4,4,4,4,4,4,3,4,4,2,3,2,1,2
34020,Nitrogen Oxide,2015-02-02,2,2,2,1,2,3,4,5,5,4,4,4,3,2,2,2,3,2,2,1,1,1,2,1
