Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34020,Nitrogen Dioxide,2015-01-01,10,9,9,8,8,7,6,7,6,5,6,6,5,5,6,7,8,8,10,9,8,9,9,8
34020,Nitrogen Dioxide,2015-01-02,9,9,6,6,6,7,6,9,9,8,5,4,3,3,3,4,7,8,14,15,13,24,36,42
34020,Nitrogen Dioxide,2015-01-03,44,34,29,24,21,19,21,12,13,13,12,12,12,13,12,12,12,12,14,16,19,18,19,19
34020,Nitrogen Dioxide,2015-01-04,19,20,19,20,20,20,24,23,25,23,22,25,21,10,7,6,6,6,6,6,6,4,4,4
34020,Nitrogen Dioxide,2015-01-05,3,3,3,3,4,3,5,7,9,7,6,4,4,5,6,6,6,9,8,9,13,14,15,17
34020,Nitrogen Dioxide,2015-01-06,18,23,23,14,14,16,17,22,29,24,16,14,13,12,12,11,13,14,13,15,19,14,16,12
34020,Nitrogen Dioxide,2015-01-07,8,10,8,5,3,3,4,6,8,5,4,3,3,3,4,5,6,9,16,25,20,13,15,23
34020,Nitrogen Dioxide,2015-01-08,25,21,25,15,8,11,13,17,16,13,18,16,14,12,13,13,14,10,11,12,12,14,11,11
34020,Nitrogen Dioxide,2015-01-09,11,13,13,14,13,12,13,12,16,15,11,5,4,4,6,8,8,9,9,11,10,10,6,6
34020,Nitrogen Dioxide,2015-01-10,6,7,8,10,7,9,12,14,14,13,11,9,6,6,6,7,12,13,10,14,16,16,18,19
34020,Nitrogen Dioxide,2015-01-11,22,20,22,15,11,13,17,21,19,16,13,11,9,9,9,15,17,17,20,25,22,16,15,18
34020,Nitrogen Dioxide,2015-01-12,11,15,17,18,19,23,30,32,31,28,28,17,12,7,5,5,6,8,6,7,6,7,7,7
34020,Nitrogen Dioxide,2015-01-13,6,6,7,6,6,10,16,23,25,20,14,14,12,12,14,17,30,39,44,45,42,38,34,34
34020,Nitrogen Dioxide,2015-01-14,27,24,32,34,34,38,38,42,40,32,29,25,30,21,13,17,20,32,42,39,34,36,29,26
34020,Nitrogen Dioxide,2015-01-15,31,32,30,40,37,34,37,38,33,32,30,20,19,16,17,17,18,17,16,17,20,17,17,17
34020,Nitrogen Dioxide,2015-01-16,17,18,19,20,9,5,6,6,7,7,5,4,4,4,3,4,6,9,14,12,16,21,23,31
34020,Nitrogen Dioxide,2015-01-17,25,21,19,19,13,11,16,23,31,14,10,10,11,11,14,17,18,22,24,29,32,35,27,16
34020,Nitrogen Dioxide,2015-01-18,11,11,11,14,17,14,9,8,8,10,10,10,9,9,10,11,11,12,16,16,10,15,10,7
34020,Nitrogen Dioxide,2015-01-19,8,6,6,6,4,5,7,7,8,6,5,4,4,3,3,5,7,9,8,8,11,12,7,8
34020,Nitrogen Dioxide,2015-01-20,6,6,7,5,6,8,13,15,16,14,9,10,11,9,10,10,12,17,19,18,21,27,30,24
34020,Nitrogen Dioxide,2015-01-21,17,18,19,17,29,34,36,41,46,43,31,24,26,19,18,22,26,27,23,19,15,13,13,14
34020,Nitrogen Dioxide,2015-01-22,13,11,10,14,18,26,34,37,29,26,17,14,11,8,5,7,11,13,19,20,18,16,19,17
34020,Nitrogen Dioxide,2015-01-23,18,14,13,11,10,14,13,20,18,13,10,9,9,7,8,9,11,12,11,12,17,16,17,15
34020,Nitrogen Dioxide,2015-01-24,16,18,13,10,10,10,15,17,20,19,17,19,19,17,16,18,19,22,21,20,16,10,6,4
34020,Nitrogen Dioxide,2015-01-25,4,3,4,3,4,4,4,5,5,5,6,7,6,5,6,6,8,10,10,9,10,10,10,7
34020,Nitrogen Dioxide,2015-01-26,9,9,6,6,6,7,15,16,20,15,12,11,11,11,10,12,13,16,13,13,9,8,7,8
34020,Nitrogen Dioxide,2015-01-27,6,7,7,7,8,9,12,19,20,15,13,10,8,7,7,9,15,10,13,14,12,7,8,11
34020,Nitrogen Dioxide,2015-01-28,16,28,18,17,13,11,12,19,29,16,7,6,6,6,7,18,24,44,46,45,44,41,42,44
34020,Nitrogen Dioxide,2015-01-29,42,39,40,32,31,20,23,28,24,20,18,20,23,24,24,23,31,40,44,32,25,23,10,10
34020,Nitrogen Dioxide,2015-01-30,10,9,5,7,6,4,5,5,5,4,4,3,3,4,3,4,6,7,9,14,15,16,13,14
34020,Nitrogen Dioxide,2015-01-31,23,24,32,38,44,44,44,43,33,29,22,18,13,13,15,17,16,19,15,17,17,16,14,13
34020,Nitrogen Dioxide,2015-02-01,15,15,10,7,6,6,8,7,6,8,6,7,7,9,9,9,10,10,11,8,8,7,6,6
34020,Nitrogen Dioxide,2015-02-02,6,7,7,5,6,8,10,12,12,10,9,6,5,4,4,5,7,11,11,16,19,21,24,26
34020,Nitrogen Dioxide,2015-02-03,36,43,32,28,28,34,40,41,32,32,24,19,16,10,10,14,14,22,19,20,23,22,37,28
34020,Nitrogen Dioxide,2015-02-04,31,26,20,20,22,20,27,32,34,34,34,31,30,20,13,14,12,10,8,9,10,7,10,9
34020,Nitrogen Dioxide,2015-02-05,8,4,7,10,18,16,15,17,13,9,7,5,4,3,5,9,9,13,21,28,32,29,24,13
34020,Nitrogen Dioxide,2015-02-06,15,15,11,11,16,18,18,22,25,19,16,13,13,11,12,9,13,18,18,17,15,12,13,16
34020,Nitrogen Dioxide,2015-02-07,16,17,18,27,27,31,30,34,33,29,27,28,34,35,33,32,31,27,26,17,17,15,14,12
34020,Nitrogen Dioxide,2015-02-08,10,11,8,11,9,7,10,12,12,13,10,10,9,10,10,11,12,11,10,9,9,9,8,8
34020,Nitrogen Dioxide,2015-02-09,8,6,5,6,8,8,13,15,15,15,13,12,12,12,12,14,19,21,17,16,19,19,20,20
34020,Nitrogen Dioxide,2015-02-10,16,18,16,14,13,17,16,23,23,15,10,8,8,8,10,13,20,25,32,31,36,40,43,45
34020,Nitrogen Dioxide,2015-02-11,47,44,42,41,35,19,16,19,17,12,11,19,18,17,21,24,25,31,35,30,28,25,24,15
34020,Nitrogen Dioxide,2015-02-12,10,5,5,5,5,8,12,18,10,5,4,3,3,2,3,3,4,6,7,7,6,8,10,10
34020,Nitrogen Dioxide,2015-02-13,10,9,8,8,9,9,17,23,22,15,15,15,21,15,14,16,12,14,14,15,15,14,14,15
34020,Nitrogen Dioxide,2015-02-14,15,14,14,14,15,17,18,15,11,9,5,4,3,3,3,3,3,5,8,5,4,4,3,3
34020,Nitrogen Dioxide,2015-02-15,2,2,2,2,3,2,3,3,3,2,2,2,2,2,2,2,3,4,5,5,6,7,6,5
34020,Nitrogen Dioxide,2015-02-16,5,5,6,11,11,10,27,33,23,12,9,7,9,11,11,13,15,21,33,42,44,44,46,46
34020,Nitrogen Dioxide,2015-02-17,45,47,46,46,42,39,42,43,37,31,23,30,24,17,12,14,17,22,24,27,25,30,28,35
34020,Nitrogen Dioxide,2015-02-18,40,43,41,36,31,34,44,44,41,22,15,10,9,11,11,14,16,16,12,8,7,7,8,8
34020,Nitrogen Dioxide,2015-02-19,12,15,12,9,7,7,12,8,7,5,4,4,3,3,3,3,5,7,8,11,9,10,11,13
34020,Nitrogen Dioxide,2015-02-20,8,10,9,13,9,7,9,11,10,7,8,8,11,9,9,13,13,16,15,21,23,27,26,30
34020,Nitrogen Dioxide,2015-02-21,35,21,19,19,19,21,21,23,22,26,25,24,21,19,21,24,35,37,36,41,43,43,43,43
34020,Nitrogen Dioxide,2015-02-22,37,37,45,48,51,53,37,38,41,41,40,28,24,23,24,10,7,7,7,12,13,17,18,15
34020,Nitrogen Dioxide,2015-02-23,8,7,8,10,9,13,12,9,8,6,6,6,4,3,4,4,5,8,12,13,13,20,24,28
34020,Nitrogen Dioxide,2015-02-24,19,25,25,16,20,21,26,27,22,18,15,15,16,16,16,16,13,13,15,16,17,17,18,16
34020,Nitrogen Dioxide,2015-02-25,16,18,22,22,12,7,12,19,12,6,4,3,3,3,4,5,6,7,8,12,11,10,14,22
34020,Nitrogen Dioxide,2015-02-26,22,17,14,21,20,17,21,22,21,18,17,13,9,7,9,13,10,11,8,8,7,6,6,7
34020,Nitrogen Dioxide,2015-02-27,9,15,18,23,27,38,38,40,30,14,9,8,5,5,5,5,6,7,14,17,16,20,31,35
34020,Nitrogen Dioxide,2015-02-28,36,39,38,37,38,37,38,40,33,21,18,14,11,9,12,12,12,14,21,26,28,26,35,50
34020,Nitrogen Dioxide,2015-03-01,42,55,59,60,57,55,54,53,55,40,18,13,17,19,20,23,27,27,26,25,11,12,14,12
34020,Nitrogen Dioxide,2015-03-02,13,14,20,20,21,17,20,28,13,7,5,5,5,5,4,4,5,7,11,14,20,25,40,45
34020,Nitrogen Dioxide,2015-03-03,49,44,42,49,53,39,50,56,57,30,20,19,20,23,21,21,24,25,24,28,26,29,24,13
34020,Nitrogen Dioxide,2015-03-04,13,11,11,11,10,11,14,29,26,17,11,7,6,6,5,7,6,9,11,10,7,5,4,3
34020,Nitrogen Dioxide,2015-03-05,3,4,4,4,5,11,15,12,10,6,4,4,3,3,3,3,5,5,8,11,21,25,22,20
34020,Nitrogen Dioxide,2015-03-06,17,26,34,31,37,37,37,35,30,28,17,10,10,9,9,11,10,13,14,13,12,11,15,13
34020,Nitrogen Dioxide,2015-03-07,12,11,12,11,12,13,16,18,16,15,14,14,11,10,11,11,14,16,21,25,30,17,16,19
34020,Nitrogen Dioxide,2015-03-08,23,19,-999,-999,18,16,14,10,6,5,4,4,3,3,4,4,6,8,14,18,15,15,17,18
34020,Nitrogen Dioxide,2015-03-09,19,13,8,9,15,22,31,37,19,15,13,13,13,10,8,8,8,10,18,23,23,20,23,23
34020,Nitrogen Dioxide,2015-03-10,25,31,42,49,52,55,55,52,49,47,35,38,32,36,38,37,40,40,42,39,38,32,30,22
34020,Nitrogen Dioxide,2015-03-11,21,17,14,11,15,19,28,9999,14,6,4,3,4,5,6,5,6,8,10,11,9,6,5,5
34020,Nitrogen Dioxide,2015-03-12,5,4,5,6,11,24,25,14,13,8,7,6,6,5,5,10,17,20,29,32,42,40,46,42
34020,Nitrogen Dioxide,2015-03-13,39,31,28,26,25,35,33,28,21,13,12,12,14,14,17,19,20,23,29,29,27,21,25,24
34020,Nitrogen Dioxide,2015-03-14,30,20,16,20,24,20,27,27,31,25,27,25,18,24,10,4,6,6,7,6,6,5,5,6
