Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34020,Nitrogen Oxides,2015-01-01,10,9,9,9,8,8,7,7,7,6,7,7,7,6,7,8,9,9,10,9,9,9,9,9
34020,Nitrogen Oxides,2015-01-02,9,9,7,6,6,7,6,9,9,9,6,5,4,4,4,5,8,9,15,17,16,25,61,77
34020,Nitrogen Oxides,2015-01-03,94,48,34,26,22,21,24,14,16,17,15,16,16,17,16,16,15,16,19,22,26,24,25,26
34020,Nitrogen Oxides,2015-01-04,25,27,24,27,24,21,29,29,33,41,40,58,42,15,8,7,7,6,6,7,6,4,4,5
34020,Nitrogen Oxides,2015-01-05,3,3,3,3,4,4,5,8,12,10,9,6,6,7,8,8,8,10,9,10,14,15,16,18
34020,Nitrogen Oxides,2015-01-06,19,24,24,15,15,17,17,25,38,34,24,20,19,18,15,15,15,15,14,17,20,15,17,12
34020,Nitrogen Oxides,2015-01-07,8,10,8,5,4,3,5,7,10,8,6,5,5,6,6,8,9,13,19,27,22,14,16,25
34020,Nitrogen Oxides,2015-01-08,27,22,26,16,9,12,14,18,18,17,23,20,19,17,18,17,15,11,12,14,13,15,12,12
34020,Nitrogen Oxides,2015-01-09,12,13,14,14,14,12,14,13,19,20,16,7,5,5,8,10,9,11,10,12,11,11,7,7
34020,Nitrogen Oxides,2015-01-10,7,7,9,11,8,10,13,15,17,18,17,14,9,8,8,9,13,14,11,15,17,16,19,21
34020,Nitrogen Oxides,2015-01-11,23,21,23,16,12,14,18,22,21,18,16,14,13,12,11,18,21,20,22,27,23,17,15,18
34020,Nitrogen Oxides,2015-01-12,11,15,18,19,20,24,35,45,50,53,54,23,16,9,6,7,8,9,7,8,7,8,9,9
34020,Nitrogen Oxides,2015-01-13,8,7,8,7,7,13,22,36,42,36,25,25,20,20,21,26,55,61,84,85,67,57,45,48
34020,Nitrogen Oxides,2015-01-14,36,28,37,38,40,54,62,88,84,63,54,46,58,34,18,22,24,35,46,51,37,40,32,30
34020,Nitrogen Oxides,2015-01-15,34,35,32,61,45,37,46,62,54,62,60,34,32,23,24,21,20,19,17,18,21,18,18,18
34020,Nitrogen Oxides,2015-01-16,18,18,19,21,9,5,7,7,8,9,7,6,6,5,5,6,8,12,17,13,18,22,25,37
34020,Nitrogen Oxides,2015-01-17,27,22,21,23,15,12,18,29,44,20,14,13,15,14,19,22,22,26,29,36,41,47,31,18
34020,Nitrogen Oxides,2015-01-18,13,12,13,14,18,15,9,8,9,11,11,12,10,10,12,13,12,13,16,16,11,16,11,7
34020,Nitrogen Oxides,2015-01-19,8,6,6,6,4,5,7,7,9,8,6,5,5,5,5,7,9,11,10,9,13,13,7,9
34020,Nitrogen Oxides,2015-01-20,7,6,7,5,6,8,14,17,19,19,12,15,17,13,14,14,15,21,22,19,22,32,34,31
34020,Nitrogen Oxides,2015-01-21,19,19,20,18,31,42,52,73,106,102,54,40,40,27,27,37,44,47,34,26,19,17,16,17
34020,Nitrogen Oxides,2015-01-22,15,11,10,14,18,27,42,59,39,42,26,21,17,11,6,9,13,15,21,21,18,16,20,17
34020,Nitrogen Oxides,2015-01-23,19,15,14,11,11,15,14,21,21,16,14,12,13,10,10,11,12,13,12,12,18,17,18,16
34020,Nitrogen Oxides,2015-01-24,17,18,14,10,11,11,16,18,22,23,21,23,24,21,19,22,23,24,24,22,18,11,6,6
34020,Nitrogen Oxides,2015-01-25,4,4,4,4,4,4,4,5,5,6,8,10,9,8,9,8,9,12,13,11,12,12,13,9
34020,Nitrogen Oxides,2015-01-26,10,10,7,6,6,9,21,24,35,25,19,18,18,17,15,19,22,27,18,20,12,10,10,10
34020,Nitrogen Oxides,2015-01-27,8,8,7,8,8,11,17,29,30,19,18,15,12,10,10,13,20,11,15,15,14,8,9,12
34020,Nitrogen Oxides,2015-01-28,17,29,19,18,13,11,13,20,41,22,10,8,9,8,10,25,31,59,66,52,55,48,50,62
34020,Nitrogen Oxides,2015-01-29,55,45,49,36,35,22,26,34,30,24,22,23,26,29,29,27,34,46,56,34,27,25,13,13
34020,Nitrogen Oxides,2015-01-30,18,17,6,8,6,4,5,6,7,6,5,5,5,6,5,6,8,9,11,15,16,17,14,16
