Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34020,Ozone,2015-01-01,24,25,24,24,23,23,22,21,21,22,23,23,24,24,24,23,22,22,21,22,22,22,22,22
34020,Ozone,2015-01-02,21,23,31,31,33,34,35,32,32,34,36,37,38,38,38,38,35,34,28,26,26,17,8,3
34020,Ozone,2015-01-03,2,4,7,10,13,15,15,25,26,25,26,25,23,21,21,21,20,19,17,15,12,13,12,10
34020,Ozone,2015-01-04,10,7,8,7,7,7,3,4,2,4,4,4,4,11,16,18,22,24,24,23,23,28,28,30
34020,Ozone,2015-01-05,32,34,36,36,35,35,34,32,30,31,32,34,35,34,33,32,33,32,32,31,27,26,25,23
34020,Ozone,2015-01-06,22,17,16,23,23,21,21,16,11,16,23,25,25,25,24,25,25,24,25,22,19,23,22,28
34020,Ozone,2015-01-07,34,31,32,33,34,36,32,29,27,28,30,30,30,30,30,29,28,25,19,11,18,25,23,17
34020,Ozone,2015-01-08,14,17,12,23,31,27,25,21,21,24,20,23,25,27,26,27,27,30,30,29,28,26,28,26
34020,Ozone,2015-01-09,25,23,22,21,21,21,19,23,20,22,27,34,36,36,34,33,32,31,30,29,29,29,33,33
34020,Ozone,2015-01-10,33,31,30,28,30,28,26,22,20,22,25,28,32,34,34,33,29,28,29,25,23,22,20,19
34020,Ozone,2015-01-11,17,19,17,23,28,26,21,16,17,20,22,24,26,28,29,24,21,20,17,12,14,20,21,19
34020,Ozone,2015-01-12,24,19,17,16,14,9,3,2,3,4,6,13,19,30,35,34,33,31,33,33,34,32,31,30
34020,Ozone,2015-01-13,29,29,28,28,28,24,20,15,14,18,24,25,28,28,27,26,14,6,3,3,2,5,7,6
34020,Ozone,2015-01-14,11,15,7,4,5,2,2,2,5,10,14,18,16,23,30,26,23,13,6,6,9,6,11,11
34020,Ozone,2015-01-15,6,5,8,2,3,4,2,2,5,8,9,17,20,24,23,26,26,27,26,25,21,23,22,20
34020,Ozone,2015-01-16,18,16,15,13,27,35,35,34,32,28,30,33,34,34,34,34,32,30,25,27,23,18,16,10
34020,Ozone,2015-01-17,14,17,19,19,24,25,22,15,9,25,29,31,30,30,27,25,25,22,19,16,11,8,13,23
34020,Ozone,2015-01-18,28,30,29,27,24,27,32,31,29,26,24,23,24,24,23,23,22,20,15,14,18,13,17,23
34020,Ozone,2015-01-19,24,26,26,24,24,25,23,24,23,25,27,28,29,30,30,28,27,24,26,25,22,21,26,25
34020,Ozone,2015-01-20,26,26,26,29,28,25,21,20,21,24,31,30,30,31,31,31,29,24,23,23,21,17,12,19
34020,Ozone,2015-01-21,25,24,22,23,12,7,7,6,3,4,11,17,14,20,23,19,18,15,17,20,24,25,24,23
34020,Ozone,2015-01-22,24,26,26,19,14,8,3,2,8,12,21,25,29,33,36,35,31,29,24,22,23,24,21,22
34020,Ozone,2015-01-23,21,23,23,25,25,22,25,18,20,25,28,30,30,32,32,31,28,26,26,26,20,21,21,22
34020,Ozone,2015-01-24,21,19,22,24,22,22,17,15,12,12,13,11,11,12,12,9,8,6,7,7,10,17,28,30
34020,Ozone,2015-01-25,29,30,31,30,29,29,30,31,32,32,31,32,33,35,35,34,32,30,30,30,29,30,29,32
34020,Ozone,2015-01-26,31,30,33,32,32,31,26,25,22,26,29,30,31,31,33,32,31,29,32,31,34,35,35,34
34020,Ozone,2015-01-27,35,34,34,33,33,31,28,23,23,26,28,31,33,34,34,33,28,31,27,27,28,32,30,27
34020,Ozone,2015-01-28,22,9,19,20,26,27,26,20,12,25,34,36,37,37,36,28,22,4,2,3,3,4,3,2
34020,Ozone,2015-01-29,3,3,2,11,12,21,19,15,21,25,28,25,23,22,21,20,13,5,2,9,12,14,27,28
34020,Ozone,2015-01-30,29,29,31,29,28,31,32,32,33,34,36,36,39,39,39,38,35,34,31,26,25,24,26,25
34020,Ozone,2015-01-31,17,16,9,5,2,2,2,3,11,15,21,26,29,30,28,27,28,24,26,23,23,22,23,22
34020,Ozone,2015-02-01,19,17,26,30,32,32,29,29,30,29,31,30,31,30,30,30,29,30,29,32,32,33,34,35
34020,Ozone,2015-02-02,34,33,34,34,33,32,30,29,29,30,31,33,35,35,36,36,34,30,30,27,24,22,20,18
