Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34020,Fine Particulate Matter,2015-01-01,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,10,9,9
34020,Fine Particulate Matter,2015-01-02,11,11,8,7,5,4,4,4,4,5,4,4,4,3,4,3,4,4,5,6,6,7,9,10
34020,Fine Particulate Matter,2015-01-03,12,9,8,8,8,7,8,9,8,9,9,9,10,12,10,9,9,9,9,10,10,9,7,7
34020,Fine Particulate Matter,2015-01-04,8,8,8,8,6,5,6,5,5,6,7,9,10,5,4,3,3,3,4,4,4,3,3,3
34020,Fine Particulate Matter,2015-01-05,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,5,7,6,7,7,8,7,7
34020,Fine Particulate Matter,2015-01-06,8,9,9,8,8,8,8,8,11,12,11,10,9,9,10,10,10,10,11,11,11,10,10,9
34020,Fine Particulate Matter,2015-01-07,6,6,6,5,4,4,4,5,5,5,4,4,4,4,4,4,5,5,6,6,6,5,5,5
34020,Fine Particulate Matter,2015-01-08,6,7,7,6,5,5,6,6,7,8,8,8,8,8,8,8,7,7,7,7,8,8,7,7
34020,Fine Particulate Matter,2015-01-09,7,8,9,10,10,10,10,8,9,9,8,5,4,4,4,4,4,5,5,6,6,5,5,5
34020,Fine Particulate Matter,2015-01-10,5,6,6,6,6,6,6,7,9,10,10,9,8,7,7,7,9,10,10,11,12,13,12,13
34020,Fine Particulate Matter,2015-01-11,13,13,14,12,10,10,11,12,12,12,12,12,13,13,12,12,13,13,14,15,14,12,11,11
34020,Fine Particulate Matter,2015-01-12,14,17,18,19,20,21,23,25,28,33,34,30,20,7,6,5,6,7,6,6,5,5,5,6
34020,Fine Particulate Matter,2015-01-13,7,7,7,7,7,7,7,8,8,8,8,7,7,7,7,7,10,13,16,18,15,14,13,13
34020,Fine Particulate Matter,2015-01-14,14,12,12,11,10,11,11,11,12,12,13,12,13,12,10,11,11,13,14,16,17,19,21,24
34020,Fine Particulate Matter,2015-01-15,28,28,29,31,27,26,29,30,27,31,29,23,21,20,20,22,23,22,26,24,26,26,29,31
34020,Fine Particulate Matter,2015-01-16,34,36,38,38,12,5,4,4,5,5,5,5,4,5,5,4,5,6,6,6,7,7,7,8
34020,Fine Particulate Matter,2015-01-17,8,8,7,7,6,6,7,7,10,6,6,6,6,7,8,10,9,10,12,13,14,14,13,9
34020,Fine Particulate Matter,2015-01-18,8,8,8,8,8,9,11,14,15,12,12,14,16,15,14,14,14,13,13,11,7,6,5,5
