Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Nitrogen Oxide,2015-01-01,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-01-02,1,1,1,2,2,3,6,7,9,11,10,8,8,7,8,8,8,11,13,11,8,15,17,54
35125,Nitrogen Oxide,2015-01-03,47,39,18,2,5,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,8,6
35125,Nitrogen Oxide,2015-01-04,6,11,9,9999,16,21,21,13,28,20,28,32,16,6,5,6,4,5,5,6,4,4,4,3
35125,Nitrogen Oxide,2015-01-05,4,3,3,3,4,4,5,7,9,9,10,8,9,9,8,6,6,5,5,2,2,1,1,2
35125,Nitrogen Oxide,2015-01-06,1,1,1,1,1,4,13,7,6,14,10,10,9,9,11,7,3,3,2,2,2,1,1,2
35125,Nitrogen Oxide,2015-01-07,2,1,2,3,4,6,12,10,14,17,17,21,17,17,17,16,18,26,20,12,7,9,5,2
35125,Nitrogen Oxide,2015-01-08,2,1,2,1,1,1,3,7,5,8,10,13,12,11,9,6,3,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-01-09,1,2,3,1,1,3,6,11,10,13,14,12,11,11,15,8,5,5,5,3,3,2,2,3
35125,Nitrogen Oxide,2015-01-10,3,2,1,1,1,1,1,1,3,7,7,7,5,4,4,3,1,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-01-11,3,0,0,9999,0,0,1,1,1,2,3,3,3,3,2,2,1,0,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-01-12,1,1,1,1,3,6,21,40,40,39,52,36,35,18,14,13,12,12,10,8,8,7,5,5
35125,Nitrogen Oxide,2015-01-13,5,5,4,6,7,14,30,35,42,47,39,25,29,26,22,20,6,3,11,38,34,23,24,42
35125,Nitrogen Oxide,2015-01-14,36,51,70,90,121,141,161,171,197,157,82,52,51,28,15,9,5,7,23,19,28,28,31,37
35125,Nitrogen Oxide,2015-01-15,42,34,21,6,7,6,11,23,29,41,25,15,10,7,4,3,1,1,1,1,2,2,3,3
35125,Nitrogen Oxide,2015-01-16,2,2,2,5,11,6,10,11,10,22,18,21,17,17,18,18,15,21,22,29,23,24,29,27
35125,Nitrogen Oxide,2015-01-17,47,29,5,1,10,5,4,4,3,-999,-999,-999,2,2,2,2,2,1,1,3,5,1,1,1
35125,Nitrogen Oxide,2015-01-18,0,0,0,9999,0,1,0,0,1,2,2,2,2,1,1,1,1,1,2,2,10,9,6,4
35125,Nitrogen Oxide,2015-01-19,5,2,4,4,5,11,17,13,13,20,15,16,17,17,15,15,12,15,15,17,20,11,12,11
35125,Nitrogen Oxide,2015-01-20,14,8,6,7,9,17,26,22,22,33,28,23,21,18,21,20,24,26,33,29,23,18,28,22
35125,Nitrogen Oxide,2015-01-21,28,19,17,34,31,49,56,88,182,174,72,22,9,21,13,7,3,9,11,12,6,8,9,8
35125,Nitrogen Oxide,2015-01-22,11,6,7,7,9,18,44,55,59,43,32,19,18,18,15,13,11,10,9,4,5,2,1,1
35125,Nitrogen Oxide,2015-01-23,1,1,1,1,1,6,2,4,5,6,5,5,5,3,3,3,2,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-01-24,1,2,2,3,1,1,1,1,1,3,4,6,6,7,4,5,4,7,5,8,5,4,4,2
35125,Nitrogen Oxide,2015-01-25,2,2,2,9999,2,2,4,4,5,6,6,7,6,6,7,7,8,7,7,8,6,8,6,4
35125,Nitrogen Oxide,2015-01-26,3,3,3,6,5,6,12,14,15,16,19,15,17,14,12,10,8,8,6,5,5,4,3,3
35125,Nitrogen Oxide,2015-01-27,4,4,5,6,7,10,16,14,18,37,31,25,25,22,18,16,11,18,21,20,15,16,17,13
35125,Nitrogen Oxide,2015-01-28,10,25,13,8,14,29,34,34,39,30,26,19,11,8,9,11,12,10,8,7,8,23,12,12
35125,Nitrogen Oxide,2015-01-29,33,19,11,9,11,2,1,1,2,2,2,2,2,2,3,3,4,40,59,24,19,13,11,6
35125,Nitrogen Oxide,2015-01-30,5,4,4,5,4,7,10,9,10,14,14,14,16,13,14,11,10,12,15,16,13,16,24,39
35125,Nitrogen Oxide,2015-01-31,41,59,30,37,22,19,12,3,13,23,21,8,6,6,4,2,2,1,1,1,1,2,5,4
35125,Nitrogen Oxide,2015-02-01,2,4,5,9999,3,3,3,4,4,5,7,7,6,7,7,7,5,6,6,5,5,4,4,3
35125,Nitrogen Oxide,2015-02-02,3,2,3,2,3,4,6,7,10,12,11,11,12,13,14,12,15,20,19,17,14,16,22,30
35125,Nitrogen Oxide,2015-02-03,10,7,10,10,28,28,11,5,16,25,28,24,15,9,9,7,5,3,2,3,3,6,4,2
35125,Nitrogen Oxide,2015-02-04,1,1,1,1,1,2,1,7,77,90,58,50,65,25,18,20,18,12,16,15,10,10,10,9
35125,Nitrogen Oxide,2015-02-05,5,6,7,7,6,14,34,46,25,26,30,28,20,13,11,15,13,8,12,14,6,5,1,1
35125,Nitrogen Oxide,2015-02-06,1,1,1,1,1,4,10,6,15,18,17,19,16,12,10,10,7,7,5,5,2,2,3,3
35125,Nitrogen Oxide,2015-02-07,2,2,1,1,3,1,1,3,7,8,9,36,32,11,10,7,8,3,9,2,1,2,4,5
35125,Nitrogen Oxide,2015-02-08,4,3,6,9999,6,6,7,5,6,5,5,5,7,8,8,6,5,4,4,4,3,3,3,3
35125,Nitrogen Oxide,2015-02-09,3,2,3,3,4,6,13,16,15,17,20,23,29,29,26,20,16,14,16,13,17,16,14,10
35125,Nitrogen Oxide,2015-02-10,10,9,8,7,13,19,33,35,39,31,34,27,22,18,13,11,7,2,2,25,30,43,96,110
35125,Nitrogen Oxide,2015-02-11,109,118,136,93,1,1,1,1,1,1,3,3,4,6,7,5,6,6,5,6,6,9,13,7
35125,Nitrogen Oxide,2015-02-12,6,4,4,3,5,9,16,20,15,17,17,16,17,18,14,13,11,13,18,16,17,21,10,9
35125,Nitrogen Oxide,2015-02-13,9,8,7,9,14,22,35,42,32,30,44,28,16,15,6,4,3,2,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-02-14,1,1,1,1,1,1,1,3,8,12,9,7,7,7,7,6,6,6,6,4,3,3,2,3
35125,Nitrogen Oxide,2015-02-15,2,2,2,9999,3,3,3,3,4,5,6,6,6,6,6,6,6,6,8,6,6,5,6,4
35125,Nitrogen Oxide,2015-02-16,3,4,5,4,8,6,11,15,12,11,11,11,8,13,21,14,7,2,1,1,2,15,12,33
35125,Nitrogen Oxide,2015-02-17,32,22,27,38,59,73,82,73,78,79,58,24,17,6,6,5,4,2,2,1,3,9,26,38
35125,Nitrogen Oxide,2015-02-18,49,4,3,22,50,59,118,89,86,138,32,14,11,11,8,17,13,18,17,15,10,9,9,9
35125,Nitrogen Oxide,2015-02-19,7,5,5,6,7,15,28,27,22,24,26,25,23,19,19,15,13,14,18,16,12,14,11,9
35125,Nitrogen Oxide,2015-02-20,9,8,7,8,11,16,28,32,32,33,26,21,10,10,9,7,5,2,1,1,1,1,1,2
35125,Nitrogen Oxide,2015-02-21,1,1,1,1,1,1,1,2,9,10,10,8,22,25,26,31,25,12,16,40,36,60,85,77
35125,Nitrogen Oxide,2015-02-22,56,53,78,9999,113,119,107,98,96,113,58,15,15,14,7,6,5,4,5,6,8,6,6,5
35125,Nitrogen Oxide,2015-02-23,5,4,4,6,7,14,27,35,31,26,23,22,22,16,9999,9999,9999,7,7,6,5,3,6,2
35125,Nitrogen Oxide,2015-02-24,1,2,1,1,1,3,1,2,5,6,6,5,7,6,6,5,2,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-02-25,1,1,1,5,4,6,13,17,15,17,18,19,19,19,15,16,17,14,23,28,32,22,18,30
35125,Nitrogen Oxide,2015-02-26,35,33,18,21,30,26,38,52,32,25,26,33,23,25,19,17,15,17,17,14,12,13,12,13
35125,Nitrogen Oxide,2015-02-27,19,18,21,57,49,79,120,131,56,28,19,17,13,14,8,9,7,7,10,7,9,9,8,3
35125,Nitrogen Oxide,2015-02-28,4,7,8,12,17,22,23,29,23,25,21,10,5,6,4,3,2,2,1,1,1,1,14,16
35125,Nitrogen Oxide,2015-03-01,22,74,67,9999,44,56,65,45,37,34,24,15,8,6,6,6,4,2,2,3,3,3,3,3
35125,Nitrogen Oxide,2015-03-02,1,1,1,1,1,8,10,25,13,13,13,11,13,10,11,10,8,7,11,15,18,17,16,27
35125,Nitrogen Oxide,2015-03-03,48,54,67,81,67,77,89,131,83,15,2,1,2,3,4,2,2,1,1,1,1,2,5,4
35125,Nitrogen Oxide,2015-03-04,4,4,4,4,4,7,15,30,19,10,11,13,13,15,16,13,14,9,9,11,9,9,7,4
35125,Nitrogen Oxide,2015-03-05,4,4,3,4,7,15,23,27,31,27,27,18,14,17,16,15,13,14,21,22,27,15,19,14
35125,Nitrogen Oxide,2015-03-06,9,12,22,13,13,32,47,46,37,25,11,7,5,4,4,3,3,2,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-03-07,1,1,1,1,1,1,1,2,5,6,5,4,3,2,2,2,1,1,1,1,1,2,4,5
35125,Nitrogen Oxide,2015-03-08,14,6,-999,-999,1,1,2,4,4,5,5,5,5,5,6,3,3,2,1,1,1,1,1,2
35125,Nitrogen Oxide,2015-03-09,2,2,3,3,7,23,32,65,29,13,10,7,4,5,5,5,5,3,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-03-10,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1,1
35125,Nitrogen Oxide,2015-03-11,1,1,3,5,7,18,25,18,17,16,13,13,11,9,7,7,6,7,5,4,5,4,5,4
35125,Nitrogen Oxide,2015-03-12,4,5,6,12,15,30,34,26,20,17,15,11,8,6,5,3,3,2,1,1,2,5,8,1
35125,Nitrogen Oxide,2015-03-13,1,2,1,1,1,1,1,2,3,3,3,4,4,3,3,4,2,2,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-03-14,1,1,1,1,1,1,1,5,2,2,2,4,7,10,5,4,4,3,3,3,3,3,3,3
35125,Nitrogen Oxide,2015-03-15,3,1,2,9999,2,2,2,2,3,3,3,4,4,4,4,4,4,4,5,6,4,2,2,1
35125,Nitrogen Oxide,2015-03-16,1,1,1,1,1,1,1,5,8,9,11,16,11,8,10,13,5,2,3,10,7,1,22,25
35125,Nitrogen Oxide,2015-03-17,30,39,6,5,7,9,8,7,9,10,9,10,9,10,9,7,6,6,5,5,4,3,3,3
35125,Nitrogen Oxide,2015-03-18,2,2,3,4,8,19,21,18,19,14,12,11,11,11,8,8,7,7,7,9,8,12,14,19
35125,Nitrogen Oxide,2015-03-19,12,26,28,27,24,48,47,25,28,17,6,5,5,3,3,2,2,1,1,0,0,1,1,0
35125,Nitrogen Oxide,2015-03-20,0,1,1,2,2,1,1,3,4,5,6,5,4,3,4,3,2,1,1,1,1,1,2,1
35125,Nitrogen Oxide,2015-03-21,1,1,1,0,0,1,1,2,4,7,5,5,4,3,3,3,3,3,3,3,2,2,2,2
35125,Nitrogen Oxide,2015-03-22,2,2,1,9999,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,6,4,3,3
35125,Nitrogen Oxide,2015-03-23,3,3,3,3,6,12,16,20,19,15,13,12,12,9,5,6,8,9,13,12,13,14,11,10
35125,Nitrogen Oxide,2015-03-24,9,7,10,13,18,28,37,35,40,26,13,16,11,5,3,2,2,1,1,1,1,2,4,1
35125,Nitrogen Oxide,2015-03-25,1,51,21,5,2,1,6,6,5,4,3,3,2,2,3,2,3,4,3,6,12,4,5,3
35125,Nitrogen Oxide,2015-03-26,4,2,2,2,15,24,21,23,11,14,11,10,10,9,5,7,10,13,12,12,11,8,11,6
35125,Nitrogen Oxide,2015-03-27,3,5,4,5,7,11,11,12,14,15,14,14,12,10,10,8,7,8,7,7,5,6,5,3
35125,Nitrogen Oxide,2015-03-28,3,2,2,3,3,4,7,9,6,5,6,5,4,4,4,4,4,4,3,4,4,5,3,4
35125,Nitrogen Oxide,2015-03-29,1,1,2,9999,3,8,11,11,8,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1
35125,Nitrogen Oxide,2015-03-30,1,1,3,1,4,7,7,8,10,11,10,10,9,10,9,8,6,7,6,7,9,9,6,5
35125,Nitrogen Oxide,2015-03-31,3,4,19,31,37,36,51,59,40,25,22,16,11,7,3,3,8,11,10,11,12,8,8,5
35125,Nitrogen Oxide,2015-04-01,4,5,8,10,21,29,35,33,29,6,5,3,2,2,2,1,2,1,1,1,1,1,3,6
35125,Nitrogen Oxide,2015-04-02,1,1,1,1,1,3,15,21,11,8,5,4,4,2,4,1,1,1,1,1,3,4,4,4
35125,Nitrogen Oxide,2015-04-03,3,3,2,1,1,1,8,12,12,5,3,2,2,2,2,2,3,3,4,5,3,5,3,2
35125,Nitrogen Oxide,2015-04-04,2,1,2,2,2,3,4,4,4,4,4,4,4,3,3,3,2,3,1,1,0,1,2,1
35125,Nitrogen Oxide,2015-04-05,1,1,2,9999,1,1,1,2,6,3,4,4,2,2,2,1,2,2,1,1,0,0,1,8
35125,Nitrogen Oxide,2015-04-06,6,3,15,25,25,45,34,10,6,15,4,2,2,2,1,1,1,1,1,0,0,1,1,1
35125,Nitrogen Oxide,2015-04-07,1,1,3,2,4,10,6,4,3,2,4,2,2,2,2,2,2,2,1,1,1,1,2,1
35125,Nitrogen Oxide,2015-04-08,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,4,7,6,5,3,4,4
35125,Nitrogen Oxide,2015-04-09,5,3,4,6,3,4,2,3,3,2,5,3,3,4,3,2,3,1,6,5,13,9,6,1
