Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Nitrogen Oxides,2015-01-01,10,9,10,10,9,9,7,7,7,7,8,9,8,9,9,10,11,14,15,12,12,12,11,10
35125,Nitrogen Oxides,2015-01-02,9,11,14,15,10,15,22,27,29,30,25,19,20,20,23,23,27,38,40,39,45,54,59,96
35125,Nitrogen Oxides,2015-01-03,89,80,54,28,35,18,13,10,9,11,10,9,10,14,15,12,14,13,15,16,16,19,32,29
35125,Nitrogen Oxides,2015-01-04,30,37,35,9999,42,48,45,34,50,39,49,55,32,16,15,18,16,15,18,20,19,10,11,10
35125,Nitrogen Oxides,2015-01-05,12,10,10,11,12,17,21,25,29,25,24,21,23,23,21,18,22,23,24,20,32,26,26,27
35125,Nitrogen Oxides,2015-01-06,26,26,18,15,17,27,45,38,34,42,27,25,23,24,30,24,20,22,20,23,24,21,20,19
35125,Nitrogen Oxides,2015-01-07,20,15,16,13,10,14,24,21,28,31,29,33,29,29,31,30,36,49,46,37,31,38,33,29
35125,Nitrogen Oxides,2015-01-08,29,23,29,12,13,17,24,33,25,29,35,38,32,28,24,23,19,15,12,11,12,12,10,10
35125,Nitrogen Oxides,2015-01-09,12,18,21,19,18,20,27,36,36,35,33,29,27,29,36,25,23,27,28,22,21,19,18,17
35125,Nitrogen Oxides,2015-01-10,19,14,15,13,10,13,16,20,21,22,20,18,13,11,14,12,14,18,16,20,20,20,29,27
35125,Nitrogen Oxides,2015-01-11,32,26,20,9999,15,16,17,18,19,19,15,14,12,12,12,13,18,19,21,20,18,19,21,20
35125,Nitrogen Oxides,2015-01-12,16,22,21,27,28,35,55,77,73,70,84,65,62,40,30,29,28,29,26,21,22,20,15,15
35125,Nitrogen Oxides,2015-01-13,15,15,14,18,20,34,58,69,74,77,67,49,56,53,49,51,34,39,52,84,82,67,67,87
35125,Nitrogen Oxides,2015-01-14,81,94,113,134,168,187,209,220,250,207,126,90,89,56,37,31,34,47,72,65,74,73,75,80
35125,Nitrogen Oxides,2015-01-15,85,74,62,44,44,43,50,62,65,75,52,38,26,24,20,17,17,18,21,25,29,24,28,28
35125,Nitrogen Oxides,2015-01-16,26,24,28,33,37,20,28,28,26,39,33,37,32,31,34,35,34,47,51,61,56,60,69,66
35125,Nitrogen Oxides,2015-01-17,89,67,38,26,44,39,33,38,24,-999,-999,-999,10,11,12,14,20,29,35,45,48,27,27,25
35125,Nitrogen Oxides,2015-01-18,21,14,14,9999,8,8,10,11,12,15,14,13,13,10,10,11,10,21,23,21,26,28,22,14
35125,Nitrogen Oxides,2015-01-19,21,9,14,15,17,24,33,30,30,38,29,29,32,32,28,30,28,36,33,39,45,31,31,31
35125,Nitrogen Oxides,2015-01-20,37,24,18,22,25,38,52,48,49,59,51,45,43,37,44,45,55,58,69,68,56,49,67,57
35125,Nitrogen Oxides,2015-01-21,66,52,51,74,69,89,92,129,232,226,117,49,30,51,39,27,22,38,43,42,31,33,35,33
35125,Nitrogen Oxides,2015-01-22,38,22,23,25,29,44,81,94,94,73,58,41,40,38,34,34,35,40,46,32,36,31,25,18
35125,Nitrogen Oxides,2015-01-23,19,18,16,15,17,28,25,33,30,24,17,16,15,12,13,13,16,17,15,18,25,23,23,21
35125,Nitrogen Oxides,2015-01-24,21,24,21,18,15,15,20,17,17,20,24,27,25,27,23,27,26,33,29,35,27,22,18,11
35125,Nitrogen Oxides,2015-01-25,8,8,7,9999,8,8,13,13,14,14,15,16,15,17,18,19,24,23,24,26,22,29,28,22
35125,Nitrogen Oxides,2015-01-26,21,19,21,25,22,26,37,44,42,40,43,37,41,36,33,30,28,32,26,22,24,20,18,17
35125,Nitrogen Oxides,2015-01-27,19,20,22,24,28,34,46,44,48,70,60,51,48,44,39,36,33,46,50,48,38,42,45,35
35125,Nitrogen Oxides,2015-01-28,30,58,38,26,40,61,65,66,73,58,49,39,27,21,28,37,48,54,56,52,54,71,56,56
35125,Nitrogen Oxides,2015-01-29,78,62,54,50,51,22,12,16,23,18,15,18,20,18,29,32,38,89,108,61,51,38,33,23
35125,Nitrogen Oxides,2015-01-30,19,15,12,15,13,16,22,19,21,26,25,26,31,25,27,22,23,30,39,42,40,48,62,84
35125,Nitrogen Oxides,2015-01-31,87,106,74,81,65,61,55,40,49,57,47,22,18,21,18,14,15,15,17,22,19,24,28,28
35125,Nitrogen Oxides,2015-02-01,28,28,27,9999,13,11,13,14,13,16,20,20,18,23,21,24,24,29,26,23,22,19,18,14
35125,Nitrogen Oxides,2015-02-02,14,14,14,12,14,18,25,29,29,27,25,22,23,25,27,25,33,49,51,50,42,47,60,79
35125,Nitrogen Oxides,2015-02-03,58,49,52,52,78,77,54,44,54,57,58,51,35,24,25,25,28,31,30,36,38,48,43,35
35125,Nitrogen Oxides,2015-02-04,28,34,37,28,25,31,31,42,116,132,95,87,102,53,44,48,44,35,43,42,31,32,31,31
35125,Nitrogen Oxides,2015-02-05,15,24,29,27,22,38,69,87,53,47,51,47,36,27,27,36,35,35,49,59,47,45,23,16
35125,Nitrogen Oxides,2015-02-06,19,14,11,17,29,31,43,38,47,44,41,42,37,31,29,31,31,39,36,36,29,28,33,33
