Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Ozone,2015-01-01,24,25,23,22,23,22,21,21,21,22,22,22,24,23,22,22,21,18,17,20,20,21,22,21
35125,Ozone,2015-01-02,21,25,21,23,31,29,25,22,23,24,28,31,30,31,28,27,24,17,15,14,6,4,2,2
35125,Ozone,2015-01-03,2,2,3,9,5,19,25,26,27,26,27,27,24,19,18,20,18,17,15,13,14,11,4,6
35125,Ozone,2015-01-04,5,4,4,9999,1,1,1,2,1,3,3,4,6,11,12,12,16,20,18,16,15,25,26,27
35125,Ozone,2015-01-05,28,32,33,32,31,28,24,23,22,24,25,26,25,26,26,28,25,24,22,23,12,18,16,17
35125,Ozone,2015-01-06,16,14,20,22,21,15,8,8,11,14,22,23,23,22,18,21,22,19,21,17,16,19,19,25
35125,Ozone,2015-01-07,25,27,27,28,31,30,25,24,22,22,23,22,23,23,22,22,18,13,10,16,16,11,13,15
35125,Ozone,2015-01-08,11,14,12,28,28,23,19,15,19,18,16,18,20,23,24,25,25,27,30,31,29,29,30,28
35125,Ozone,2015-01-09,25,21,18,18,18,17,14,14,14,18,22,25,26,25,22,26,25,21,20,23,24,25,26,27
35125,Ozone,2015-01-10,25,9999,25,27,29,26,23,18,18,21,24,27,31,33,31,31,29,25,26,22,22,21,15,17
35125,Ozone,2015-01-11,14,16,19,9999,25,24,22,19,19,20,23,25,27,28,28,27,22,19,17,18,19,19,17,18
35125,Ozone,2015-01-12,20,14,15,10,9,4,2,2,2,4,4,6,9,19,26,26,25,24,25,29,27,27,29,28
35125,Ozone,2015-01-13,27,26,26,24,23,16,10,6,7,10,14,18,17,18,17,13,16,8,4,2,3,3,2,2
35125,Ozone,2015-01-14,2,2,2,2,2,2,2,2,2,3,7,11,12,19,23,23,18,9,4,5,2,2,2,2
35125,Ozone,2015-01-15,2,2,2,4,3,3,2,2,4,6,11,16,22,24,26,29,29,28,23,20,17,21,17,15
35125,Ozone,2015-01-16,16,14,10,9,14,28,26,26,26,20,22,23,26,26,24,24,23,16,13,10,10,8,6,5
35125,Ozone,2015-01-17,2,5,8,14,6,7,10,6,17,-999,-999,-999,32,31,30,29,24,17,11,5,4,14,13,16
35125,Ozone,2015-01-18,19,26,25,9999,35,34,31,28,26,23,22,22,22,24,25,24,24,13,13,14,12,11,15,23
35125,Ozone,2015-01-19,19,26,23,22,21,17,15,15,16,16,20,22,22,22,22,20,19,16,18,14,10,15,15,15
35125,Ozone,2015-01-20,11,19,22,20,18,15,13,12,13,14,18,22,23,25,22,19,15,14,11,9,12,13,6,8
35125,Ozone,2015-01-21,6,8,7,3,3,2,3,2,2,3,6,14,19,12,16,20,22,14,11,12,16,14,14,16
35125,Ozone,2015-01-22,13,20,23,20,18,14,5,3,4,8,14,19,22,24,25,23,22,17,10,17,14,15,18,22
35125,Ozone,2015-01-23,22,20,22,23,21,17,16,11,15,22,27,28,29,31,30,30,26,23,24,22,16,18,17,20
35125,Ozone,2015-01-24,20,17,18,19,20,20,15,16,16,14,13,11,12,11,11,9,9,5,6,4,8,14,22,29
35125,Ozone,2015-01-25,28,28,29,9999,28,27,25,27,28,29,29,29,31,31,30,29,26,26,25,24,25,20,21,25
35125,Ozone,2015-01-26,24,25,23,22,23,21,16,13,15,18,18,21,20,21,23,25,25,22,26,28,26,28,28,29
35125,Ozone,2015-01-27,28,27,26,25,22,20,15,14,15,13,16,19,22,23,24,25,24,19,17,16,20,17,14,18
35125,Ozone,2015-01-28,19,8,14,20,14,10,11,10,9,15,21,26,30,32,28,22,13,4,3,5,3,2,2,2
35125,Ozone,2015-01-29,2,2,2,2,3,19,28,25,22,27,30,27,26,27,19,16,10,2,2,6,8,13,19,23
35125,Ozone,2015-01-30,24,27,28,26,26,28,26,28,28,28,30,31,31,32,31,32,30,25,19,18,18,13,9,4
35125,Ozone,2015-01-31,2,2,2,2,2,2,2,6,8,11,19,28,30,28,30,32,31,29,25,21,23,19,17,14
35125,Ozone,2015-02-01,12,12,17,9999,31,31,28,27,28,26,26,26,27,25,25,23,23,20,21,23,24,26,28,30
35125,Ozone,2015-02-02,31,30,30,30,29,27,23,21,23,26,28,29,29,29,29,30,25,16,12,13,17,15,10,3
35125,Ozone,2015-02-03,3,5,6,6,3,2,5,7,8,14,17,21,28,32,30,30,27,22,20,16,13,7,7,10
35125,Ozone,2015-02-04,14,8,5,11,10,7,6,2,2,2,3,4,4,9,14,13,15,22,21,20,25,24,23,21
35125,Ozone,2015-02-05,31,25,20,22,26,19,9,6,16,20,21,23,25,27,27,24,21,18,10,4,6,8,22,28
35125,Ozone,2015-02-06,24,29,32,28,19,19,14,15,16,21,24,24,26,29,29,28,25,18,18,19,23,24,20,18
35125,Ozone,2015-02-07,20,17,14,15,15,11,9,7,8,10,15,9,11,15,13,12,9,16,10,21,28,26,22,22
35125,Ozone,2015-02-08,24,26,24,9999,23,22,22,24,22,23,24,24,23,23,23,22,24,24,24,24,25,26,26,28
35125,Ozone,2015-02-09,29,29,27,27,26,24,17,13,16,17,19,18,16,18,19,22,20,17,15,15,12,16,18,22
35125,Ozone,2015-02-10,20,17,17,16,11,12,9,8,10,17,19,21,24,25,29,29,26,22,17,6,2,2,2,2
35125,Ozone,2015-02-11,2,2,2,6,29,31,33,31,31,35,31,28,26,23,18,21,16,9,9,9,7,7,6,19
35125,Ozone,2015-02-12,21,26,26,28,27,19,9,11,21,23,23,24,25,25,26,27,28,23,19,17,17,13,24,24
35125,Ozone,2015-02-13,23,21,22,22,18,13,8,7,13,9999,16,21,25,24,30,30,32,29,30,30,27,30,30,29
35125,Ozone,2015-02-14,27,29,27,24,22,19,18,18,18,19,26,30,31,31,30,31,29,27,22,27,30,30,30,31
35125,Ozone,2015-02-15,32,31,31,9999,29,29,29,28,29,28,29,30,29,31,31,31,31,30,26,27,25,28,29,30
35125,Ozone,2015-02-16,30,28,24,23,20,19,14,11,21,25,26,27,29,27,26,26,26,22,16,15,10,6,3,3
35125,Ozone,2015-02-17,2,3,3,2,2,2,2,2,5,8,13,22,27,35,34,35,34,33,26,24,11,6,2,2
35125,Ozone,2015-02-18,2,4,4,2,2,2,2,2,4,5,19,26,28,28,29,19,19,18,21,24,29,28,24,23
35125,Ozone,2015-02-19,24,27,25,24,23,17,11,12,19,22,23,23,25,27,27,28,27,24,19,18,21,19,20,20
35125,Ozone,2015-02-20,17,19,20,21,18,16,11,10,14,17,19,22,27,28,28,28,28,28,23,21,19,19,16,14
35125,Ozone,2015-02-21,10,7,17,16,14,15,12,9,10,15,21,23,16,16,16,12,10,14,7,2,2,2,2,2
35125,Ozone,2015-02-22,2,2,2,9999,2,2,2,2,4,5,13,22,25,27,30,33,33,31,29,25,20,22,22,24
35125,Ozone,2015-02-23,26,25,25,22,21,15,9,9,14,18,19,20,22,20,9999,9999,9999,20,15,16,14,14,5,12
