Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
35125,Fine Particulate Matter,2015-01-01,6,5,5,5,5,6,5,6,6,6,7,7,7,6,6,6,6,7,7,7,7,7,7,7
35125,Fine Particulate Matter,2015-01-02,7,6,6,6,5,4,4,4,5,5,5,4,4,4,4,4,5,6,6,7,7,7,7,9
35125,Fine Particulate Matter,2015-01-03,12,12,10,9,9,8,9,9,8,7,7,8,9,10,8,8,9,8,9,9,10,9,8,7
35125,Fine Particulate Matter,2015-01-04,7,8,9,8,7,7,6,5,6,6,7,9,6,4,4,3,3,4,4,5,5,3,3,3
35125,Fine Particulate Matter,2015-01-05,3,3,3,3,3,3,3,3,4,5,5,4,4,4,4,4,5,5,5,5,6,6,6,6
35125,Fine Particulate Matter,2015-01-06,5,6,6,6,6,7,7,8,6,7,6,6,6,6,7,7,6,7,7,8,8,8,8,6
35125,Fine Particulate Matter,2015-01-07,8,8,8,7,6,5,6,6,6,6,6,7,6,6,5,6,7,8,9,8,8,8,7,6
35125,Fine Particulate Matter,2015-01-08,7,7,7,6,5,5,6,6,8,8,8,8,7,7,7,7,8,9,9,9,9,9,8,7
35125,Fine Particulate Matter,2015-01-09,8,8,8,9,9,9,9,8,9,9,8,6,5,5,5,5,5,5,6,6,6,5,5,5
35125,Fine Particulate Matter,2015-01-10,6,6,6,6,6,6,6,7,9,11,11,10,9,8,8,8,8,8,9,10,10,10,11,11
35125,Fine Particulate Matter,2015-01-11,11,12,12,11,10,10,10,10,10,10,11,11,10,10,10,10,11,12,13,13,12,11,11,11
35125,Fine Particulate Matter,2015-01-12,13,14,15,16,17,18,20,22,21,23,25,25,19,8,7,6,7,7,7,6,6,6,6,6
35125,Fine Particulate Matter,2015-01-13,6,7,7,8,8,8,9,9,10,12,11,10,9,9,9,9,8,11,13,14,13,13,13,14
35125,Fine Particulate Matter,2015-01-14,15,17,17,17,18,19,19,18,19,19,18,15,16,13,11,10,11,12,14,16,22,25,26,27
35125,Fine Particulate Matter,2015-01-15,29,28,28,26,26,27,27,26,26,28,24,21,19,17,18,19,19,20,21,21,22,22,24,25
35125,Fine Particulate Matter,2015-01-16,27,29,31,31,19,6,6,6,6,7,7,7,6,6,6,6,6,7,8,9,9,10,10,10
35125,Fine Particulate Matter,2015-01-17,12,12,9,9,9,8,8,8,8,-999,-999,-999,17,19,21,24,25,25,28,34,36,32,13,3
35125,Fine Particulate Matter,2015-01-18,4,4,4,4,5,6,6,8,7,6,7,9,10,9,9,9,8,9,8,7,5,5,4,4
35125,Fine Particulate Matter,2015-01-19,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,5,7,8,8,8,8,7,7,7
35125,Fine Particulate Matter,2015-01-20,9,9,8,8,7,7,7,7,6,6,6,5,5,5,5,5,6,7,7,7,7,7,7,7
35125,Fine Particulate Matter,2015-01-21,9,9,9,9,8,9,9,10,14,16,13,12,11,12,10,10,10,11,12,12,11,12,12,11
35125,Fine Particulate Matter,2015-01-22,12,12,10,10,10,10,13,13,15,16,15,13,10,8,7,8,9,10,12,12,11,11,11,12
35125,Fine Particulate Matter,2015-01-23,13,15,15,14,13,12,12,12,12,11,12,13,13,13,13,13,13,14,14,13,14,15,15,15
35125,Fine Particulate Matter,2015-01-24,16,19,21,21,19,17,16,16,20,25,31,33,33,34,33,30,25,23,24,19,14,10,6,3
35125,Fine Particulate Matter,2015-01-25,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
35125,Fine Particulate Matter,2015-01-26,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,6,6,6,5,6,5,5,5
35125,Fine Particulate Matter,2015-01-27,6,6,5,5,5,5,5,5,5,6,6,8,8,7,6,6,7,8,9,8,7,7,7,6
35125,Fine Particulate Matter,2015-01-28,7,7,7,6,6,6,5,5,4,5,5,4,4,4,4,5,7,9,10,10,11,13,11,12
35125,Fine Particulate Matter,2015-01-29,14,13,12,12,12,12,10,10,10,8,8,8,8,7,9,9,10,12,15,16,18,16,14,12
35125,Fine Particulate Matter,2015-01-30,11,10,9,8,7,6,6,6,6,5,6,6,6,5,5,5,6,6,7,7,7,7,7,9
35125,Fine Particulate Matter,2015-01-31,8,9,9,9,9,9,8,7,8,8,9,9,9,10,10,10,11,13,16,17,19,20,22,22
35125,Fine Particulate Matter,2015-02-01,23,23,16,7,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5
35125,Fine Particulate Matter,2015-02-02,5,5,5,5,5,5,5,5,6,5,5,5,4,4,4,4,4,5,6,5,6,6,6,6
35125,Fine Particulate Matter,2015-02-03,7,8,9,9,9,10,10,9,11,12,13,13,11,10,10,9,9,10,12,12,14,15,16,17
35125,Fine Particulate Matter,2015-02-04,19,20,20,16,15,15,14,14,16,19,19,23,31,24,19,18,15,9,8,8,8,7,7,7
35125,Fine Particulate Matter,2015-02-05,6,7,7,7,6,6,6,6,7,8,9,8,7,6,6,6,6,7,8,9,9,9,8,8
35125,Fine Particulate Matter,2015-02-06,8,9,9,10,10,9,9,9,12,13,13,14,15,15,15,16,17,20,20,19,19,18,19,19
35125,Fine Particulate Matter,2015-02-07,20,22,22,23,24,26,27,29,27,28,27,36,36,28,26,22,21,13,12,10,8,9,10,9
35125,Fine Particulate Matter,2015-02-08,10,10,9,8,8,8,8,8,9,9,9,9,10,10,9,9,8,8,8,7,7,7,6,6
35125,Fine Particulate Matter,2015-02-09,7,7,7,7,6,6,7,7,8,8,8,8,8,7,8,8,9,10,10,10,9,10,9,9
35125,Fine Particulate Matter,2015-02-10,9,10,9,9,10,9,8,9,9,8,8,8,9,9,9,9,9,8,9,11,12,13,16,16
35125,Fine Particulate Matter,2015-02-11,17,17,18,16,10,10,9,8,8,8,11,12,15,16,17,17,20,24,26,27,26,23,21,17
35125,Fine Particulate Matter,2015-02-12,15,6,5,5,5,5,6,5,6,7,6,6,6,6,5,5,6,7,8,7,7,7,6,6
35125,Fine Particulate Matter,2015-02-13,8,8,8,9,9,10,10,11,11,12,15,14,12,11,11,10,11,12,11,11,10,9,9,9
35125,Fine Particulate Matter,2015-02-14,10,11,12,12,12,13,13,12,10,10,8,8,8,7,7,7,8,9,11,10,9,8,8,8
